Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Tua Tagovailoa,Alabama,QB,"6'1""",218,,2019-09-22,
2,--,Chase Young,Ohio State,EDGE,"6'5""",265,,2019-09-22,
3,+4,Grant Delpit,LSU,S,"6'3""",203,,2019-09-22,
4,-1,Justin Herbert,Oregon,QB,"6'6""",225,,2019-09-22,
5,-1,Jerry Jeudy,Alabama,WRF,"6'1""",192,,2019-09-22,
6,+3,Andrew Thomas,Georgia,OT,"6'5""",320,,2019-09-22,
7,-2,A.J. Epenesa,Iowa,DL5T,"6'6""",280,,2019-09-22,
8,+7,Trey Adams,Washington,OT,"6'7""",315,,2019-09-22,
9,+10,Alaric Jackson,Iowa,OT,"6'6""",320,,2019-09-22,
10,+1,Laviska Shenault,Colorado,WRF,"6'2""",220,,2019-09-22,
11,+3,C.J. Henderson,Florida,CB,"6'1""",186,,2019-09-22,
12,-6,Jake Fromm,Georgia,QB,"6'2""",220,,2019-09-22,
13,+8,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,,2019-09-22,
14,-6,Derrick Brown,Auburn,DL1T,"6'5""",318,,2019-09-22,
15,+23,Calvin Throckmorton,Oregon,OT,"6'5""",318,,2019-09-22,
16,-6,Raekwon Davis,Alabama,DL3T,"6'7""",306,,2019-09-22,
17,--,Isaiah Simmons,Clemson,OLB,"6'4""",225,,2019-09-22,
18,+5,Kristian Fulton,LSU,CB,"6'0""",192,,2019-09-22,
19,+14,Bryce Hall,Virginia,CB,"6'1""",200,,2019-09-22,
20,+7,Tyler Biadasz,Wisconsin,OG,"6'3""",315,,2019-09-22,
21,+4,Henry Ruggs III,Alabama,WRF,"6'0""",183,,2019-09-22,
22,+4,Travis Etienne,Clemson,RBF,"5'10""",200,,2019-09-22,
23,+87,Troy Dye,Oregon,ILB,"6'4""",224,,2019-09-22,
24,-11,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,,2019-09-22,
25,-3,Terrell Lewis,Alabama,EDGE,"6'5""",255,,2019-09-22,
26,+2,Jeffrey Okudah,Ohio State,CB,"6'1""",200,,2019-09-22,
27,-3,Nick Coe,Auburn,EDGE,"6'5""",282,,2019-09-22,
28,+9,Jonathan Taylor,Wisconsin,RBF,"5'11""",215,,2019-09-22,
29,+59,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,,2019-09-22,
