Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,+1,Joe Burrow,LSU,QB,"6'4""",216,SR,2020-02-01,
2,-1,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2020-02-01,
3,+3,Jeffrey Okudah,Ohio State,CB,"6'1""",200,JR,2020-02-01,
4,-1,Derrick Brown,Auburn,DL3T,"6'5""",318,SR,2020-02-01,
5,+5,Andrew Thomas,Georgia,OT,"6'5""",320,JR,2020-02-01,
6,+1,Isaiah Simmons,Clemson,OLB,"6'4""",225,RJR,2020-02-01,
7,+13,Tua Tagovailoa,Alabama,QB,"6'1""",218,JR,2020-02-01,
8,-4,Justin Herbert,Oregon,QB,"6'6""",225,SR,2020-02-01,
9,-4,Jerry Jeudy,Alabama,WR,"6'1""",192,JR,2020-02-01,
10,-2,A.J. Epenesa,Iowa,DL5T,"6'6""",280,JR,2020-02-01,
11,+6,Jedrick Wills,Alabama,OT,"6'5""",316,JR,2020-02-01,
12,+1,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2020-02-01,
13,-1,CeeDee Lamb,Oklahoma,WR,"6'2""",189,JR,2020-02-01,
14,-3,Kristian Fulton,LSU,CB,"6'0""",192,SR,2020-02-01,
15,-1,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,JR,2020-02-01,
16,-7,Austin Jackson,USC,OT,"6'6""",310,JR,2020-02-01,
17,-2,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,SR,2020-02-01,
18,-2,Grant Delpit,LSU,S,"6'3""",203,JR,2020-02-01,
19,+12,Solomon Kindley,Georgia,OG,"6'4""",335,JR,2020-02-01,
20,+1,Trevon Diggs,Alabama,CB,"6'2""",200,JR,2020-02-01,
21,-3,Jonathan Taylor,Wisconsin,RB,"5'11""",215,JR,2020-02-01,
22,+30,K'Lavon Chaisson,LSU,OLB,"6'4""",238,RSO,2020-02-01,
23,-4,Curtis Weaver,Boise State,EDGE,"6'3""",266,RJR,2020-02-01,
24,+4,J.K. Dobbins,Ohio State,RB,"5'10""",214,JR,2020-02-01,
25,-2,Tee Higgins,Clemson,WR,"6'4""",200,JR,2020-02-01,
26,+10,Xavier McKinney,Alabama,S,"6'1""",196,JR,2020-02-01,
27,-3,Laviska Shenault,Colorado,WR,"6'2""",220,JR,2020-02-01,
28,-2,Tyler Biadasz,Wisconsin,OC,"6'3""",315,SR,2020-02-01,
29,-2,C.J. Henderson,Florida,CB,"6'1""",186,JR,2020-02-01,
30,-8,D'Andre Swift,Georgia,RB,"5'9""",215,JR,2020-02-01,
31,+3,Trey Adams,Washington,OT,"6'7""",315,SR,2020-02-01,
32,-7,Henry Ruggs III,Alabama,WR,"6'0""",183,JR,2020-02-01,
33,-4,Cameron Dantzler,Mississippi State,CB,"6'2""",185,JR,2020-02-01,
34,+4,Jake Fromm,Georgia,QB,"6'2""",220,JR,2020-02-01,
35,+4,Jalen Reagor,TCU,WRS,"5'11""",195,JR,2020-02-01,
36,+105,Lloyd Cushenberry,LSU,OC,"6'3""",312,RJR,2020-02-01,
37,+70,Neville Gallimore,Oklahoma,DL1T,"6'2""",330,RSR,2020-02-01,
38,+3,Bryce Hall,Virginia,CB,"6'1""",200,SR,2020-02-01,
39,+11,Mekhi Becton,Louisville,OT,"6'7""",355,JR,2020-02-01,
40,+14,Brycen Hopkins,Purdue,TE,"6'5""",245,RSR,2020-02-01,
41,-3,Prince Tega Wanogho,Auburn,OT,"6'7""",310,SR,2020-02-01,
42,+121,John Simpson,Clemson,OG,"6'4""",330,SR,2020-02-01,
43,-10,Kenneth Murray,Oklahoma,ILB,"6'2""",238,JR,2020-02-01,
44,+5,Josh Jones,Houston,OT,"6'7""",310,SR,2020-02-01,
45,+11,Justin Jefferson,LSU,WR,"6'2""",185,JR,2020-02-01,
46,+2,Shane Lemieux,Oregon,OG,"6'4""",317,SR,2020-02-01,
47,+11,Terrell Lewis,Alabama,EDGE,"6'5""",255,RJR,2020-02-01,
48,+26,K.J. Hamler,Penn State,WRS,"5'9""",174,JR,2020-02-01,
49,+78,Jordan Love,Utah State,QB,"6'4""",225,JR,2020-02-01,
50,+12,A.J. Terrell,Clemson,CB,"6'2""",190,JR,2020-02-01,
51,+1,James Lynch,Baylor,DL5T,"6'4""",295,JR,2020-02-01,
52,+47,Brandon Aiyuk,Arizona State,WR,"6'0""",208,SR,2020-02-01,
53,+19,Zack Baun,Wisconsin,OLB,"6'3""",235,SR,2020-02-01,
54,+21,Jeff Gladney,TCU,CB,"5'10""",183,SR,2020-02-01,
55,-9,Justin Madubuike,Texas A&M,DL3T,"6'3""",304,RJR,2020-02-01,
56,+186,Patrick Queen,LSU,ILB,"6'2""",232,JR,2020-02-01,
