Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Joe Burrow,LSU,QB,"6'4""",216,SR,2020-02-28,
2,--,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2020-02-28,
3,--,Jeffrey Okudah,Ohio State,CB,"6'1""",200,JR,2020-02-28,
4,--,Derrick Brown,Auburn,DL3T,"6'5""",318,SR,2020-02-28,
5,--,Andrew Thomas,Georgia,OT,"6'5""",320,JR,2020-02-28,
6,--,Isaiah Simmons,Clemson,OLB,"6'4""",225,RJR,2020-02-28,
7,--,Tua Tagovailoa,Alabama,QB,"6'1""",218,JR,2020-02-28,
8,--,Justin Herbert,Oregon,QB,"6'6""",225,SR,2020-02-28,
9,--,Jerry Jeudy,Alabama,WR,"6'1""",192,JR,2020-02-28,
10,--,A.J. Epenesa,Iowa,DL5T,"6'6""",280,JR,2020-02-28,
11,--,Jedrick Wills,Alabama,OT,"6'5""",316,JR,2020-02-28,
12,--,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2020-02-28,
13,--,CeeDee Lamb,Oklahoma,WR,"6'2""",189,JR,2020-02-28,
14,--,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,JR,2020-02-28,
15,--,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,SR,2020-02-28,
16,--,Trevon Diggs,Alabama,CB,"6'2""",200,JR,2020-02-28,
17,--,Jonathan Taylor,Wisconsin,RB,"5'11""",215,JR,2020-02-28,
18,--,Kristian Fulton,LSU,CB,"6'0""",192,SR,2020-02-28,
19,--,K'Lavon Chaisson,LSU,OLB,"6'4""",238,RSO,2020-02-28,
20,--,Curtis Weaver,Boise State,EDGE,"6'3""",266,RJR,2020-02-28,
21,+10,Henry Ruggs III,Alabama,WR,"6'0""",183,JR,2020-02-28,
22,--,Solomon Kindley,Georgia,OG,"6'4""",335,JR,2020-02-28,
23,--,Xavier McKinney,Alabama,S,"6'1""",196,JR,2020-02-28,
24,--,J.K. Dobbins,Ohio State,RB,"5'10""",214,JR,2020-02-28,
25,+11,Justin Jefferson,LSU,WR,"6'2""",185,JR,2020-02-28,
26,--,Mekhi Becton,Louisville,OT,"6'7""",355,JR,2020-02-28,
27,--,Tee Higgins,Clemson,WR,"6'4""",200,JR,2020-02-28,
28,--,Tyler Biadasz,Wisconsin,OC,"6'3""",315,SR,2020-02-28,
29,--,C.J. Henderson,Florida,CB,"6'1""",186,JR,2020-02-28,
30,--,Austin Jackson,USC,OT,"6'6""",310,JR,2020-02-28,
31,--,D'Andre Swift,Georgia,RB,"5'9""",215,JR,2020-02-28,
32,--,Antoine Winfield Jr.,Minnesota,S,"5'10""",207,RSO,2020-02-28,
33,-7,Laviska Shenault,Colorado,WR,"6'2""",220,JR,2020-02-28,
34,--,Kenneth Murray,Oklahoma,ILB,"6'2""",238,JR,2020-02-28,
35,+6,Jordan Love,Utah State,QB,"6'4""",225,JR,2020-02-28,
36,--,Lloyd Cushenberry,LSU,OC,"6'3""",312,RJR,2020-02-28,
37,--,Grant Delpit,LSU,S,"6'3""",203,JR,2020-02-28,
38,--,Shane Lemieux,Oregon,OG,"6'4""",317,SR,2020-02-28,
39,--,Neville Gallimore,Oklahoma,DL1T,"6'2""",330,RSR,2020-02-28,
40,-6,Jalen Reagor,TCU,WRS,"5'11""",195,JR,2020-02-28,
41,--,Damon Arnette,Ohio State,CB,"6'0""",195,SR,2020-02-28,
42,--,Josh Jones,Houston,OT,"6'7""",310,SR,2020-02-28,
43,+59,Cole Kmet,Notre Dame,TE,6'6',255,JR,2020-02-28,
44,--,John Simpson,Clemson,OG,"6'4""",330,SR,2020-02-28,
45,--,Zack Baun,Wisconsin,OLB,"6'3""",235,SR,2020-02-28,
46,--,Jake Fromm,Georgia,QB,"6'2""",220,JR,2020-02-28,
47,--,Bryce Hall,Virginia,CB,"6'1""",200,SR,2020-02-28,
48,--,Terrell Lewis,Alabama,EDGE,"6'5""",255,RJR,2020-02-28,
