Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,+2,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2020-01-05,Declared
2,-1,Joe Burrow,LSU,QB,"6'4""",216,SR,2020-01-05,Eligible
3,-1,Derrick Brown,Auburn,DL3T,"6'5""",318,SR,2020-01-05,Eligible
4,+1,Justin Herbert,Oregon,QB,"6'6""",225,SR,2020-01-05,Eligible
5,-1,Jerry Jeudy,Alabama,WRF,"6'1""",192,JR,2020-01-05,Declared
6,+1,Jeffrey Okudah,Ohio State,CB,"6'1""",200,JR,2020-01-05,Declared
7,+4,Isaiah Simmons,Clemson,OLB,"6'4""",225,RJR,2020-01-05,Underclassman
8,+1,A.J. Epenesa,Iowa,DL5T,"6'6""",280,JR,2020-01-05,Underclassman
9,+1,Austin Jackson,USC,OT,"6'6""",310,JR,2020-01-05,Underclassman
10,-4,Andrew Thomas,Georgia,OT,"6'5""",320,JR,2020-01-05,Declared
11,+1,Kristian Fulton,LSU,CB,"6'0""",192,SR,2020-01-05,Eligible
12,+1,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,JR,2020-01-05,Declared
13,+1,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2020-01-05,Underclassman
14,-6,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,JR,2020-01-05,Declared
15,--,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,SR,2020-01-05,Eligible
16,+6,Grant Delpit,LSU,S,"6'3""",203,JR,2020-01-05,Underclassman
17,+5,Jedrick Wills,Alabama,OT,"6'5""",316,JR,2020-01-05,Declared
18,+1,Jonathan Taylor,Wisconsin,RBF,"5'11""",215,JR,2020-01-05,Declared
19,+1,Curtis Weaver,Boise State,EDGE,"6'3""",266,RJR,2020-01-05,Declared
20,-4,Tua Tagovailoa,Alabama,QB,"6'1""",218,JR,2020-01-05,Underclassman
21,--,Trevon Diggs,Alabama,CB,"6'2""",200,JR,2020-01-05,Underclassman
22,+9,D'Andre Swift,Georgia,RBF,"5'9""",215,JR,2020-01-05,Declared
23,-6,Tee Higgins,Clemson,WRF,"6'4""",200,JR,2020-01-05,Underclassman
24,-1,Laviska Shenault,Colorado,WRF,"6'2""",220,JR,2020-01-05,Declared
25,+2,Henry Ruggs III,Alabama,WRF,"6'0""",183,JR,2020-01-05,Underclassman
26,-8,Tyler Biadasz,Wisconsin,OC,"6'3""",315,SR,2020-01-05,Eligible
27,-1,C.J. Henderson,Florida,CB,"6'1""",186,JR,2020-01-05,Declared
28,+16,J.K. Dobbins,Ohio State,RBF,"5'10""",214,JR,2020-01-05,Declared
29,+6,Cameron Dantzler,Mississippi State,CB,"6'2""",185,JR,2020-01-05,Declared
30,+3,Anfernee Jennings,Alabama,OLB,"6'3""",259,RSR,2020-01-05,Eligible
31,+6,Tyler Johnson,Minnesota,WRF,"6'2""",200,SR,2020-01-05,Eligible
32,-7,Kenneth Murray,Oklahoma,ILB,"6'2""",238,JR,2020-01-05,Declared
33,-3,Travis Etienne,Clemson,RBF,"5'10""",200,JR,2020-01-05,Underclassman
34,-2,Trey Adams,Washington,OT,"6'7""",315,SR,2020-01-05,Eligible
35,+3,Creed Humphrey,Oklahoma,OC,"6'4""",328,RSO,2020-01-05,Underclassman
36,+4,Xavier McKinney,Alabama,S,"6'1""",196,JR,2020-01-05,Declared
37,-3,Prince Tega Wanogho,Auburn,OT,"6'7""",310,SR,2020-01-05,Eligible
38,+17,Jake Fromm,Georgia,QB,"6'2""",220,JR,2020-01-05,Underclassman
39,+13,Jalen Reagor,TCU,WRS,"5'11""",195,JR,2020-01-05,Declared
40,+10,Albert Okwuegbunam,Missouri,TE,"6'5""",255,RJR,2020-01-05,Declared
41,--,Bryce Hall,Virginia,CB,"6'1""",200,SR,2020-01-05,Eligible
42,+12,DeVonta Smith,Alabama,WRF,"6'1""",193,JR,2020-01-05,Underclassman
43,+10,Jake Hanson,Oregon,OC,"6'5""",297,SR,2020-01-05,Eligible
44,-1,Troy Dye,Oregon,ILB,"6'4""",224,SR,2020-01-05,Eligible
45,+27,Justin Madubuike,Texas A&M,DL3T,"6'3""",304,RJR,2020-01-05,Declared
46,-4,Jalen Hurts,Oklahoma,QB,"6'2""",210,SR,2020-01-05,Eligible
48,+10,Paulson Adebo,Stanford,CB,"6'1""",189,JR,2020-01-05,Underclassman
49,+22,Josh Jones,Houston,OT,"6'7""",310,SR,2020-01-05,Eligible
50,+36,James Lynch,Baylor,DL5T,"6'4""",295,JR,2020-01-05,Underclassman
51,+17,Mekhi Becton,Louisville,OT,"6'7""",355,JR,2020-01-05,Declared
52,+33,K'Lavon Chaisson,LSU,OLB,"6'4""",238,RSO,2020-01-05,Underclassman
53,+81,Brycen Hopkins,Purdue,TE,"6'5""",245,RSR,2020-01-05,Eligible
54,+60,Justin Jefferson,LSU,WRF,"6'2""",185,JR,2020-01-05,Underclassman
55,+35,Nick Harris,Washington,OC,"6'1""",302,SR,2020-01-05,Eligible
56,-17,Terrell Lewis,Alabama,EDGE,"6'5""",255,RJR,2020-01-05,Declared
57,+4,Rashard Lawrence,LSU,DL1T,"6'3""",317,SR,2020-01-05,Eligible
58,+9,Michael Pittman Jr.,USC,WRF,"6'4""",223,SR,2020-01-05,Eligible
60,+4,A.J. Terrell,Clemson,CB,"6'2""",190,JR,2020-01-05,Underclassman
61,-37,Raekwon Davis,Alabama,DL3T,"6'7""",306,SR,2020-01-05,Eligible
62,-2,Jordyn Brooks,Texas Tech,ILB,"6'1""",245,SR,2020-01-05,Eligible
63,-15,Malik Harrison,Ohio State,ILB,"6'3""",245,SR,2020-01-05,Eligible
64,+88,Davon Hamilton,Ohio State,DL3T,"6'4""",310,SR,2020-01-05,Eligible
65,-6,Jacob Eason,Washington,QB,"6'6""",228,JR,2020-01-05,Declared
66,+25,Logan Stenberg,Kentucky,OG,"6'6""",326,RSR,2020-01-05,Eligible
67,-5,Hamsah Nasirildeen,Florida State,S,"6'3""",216,JR,2020-01-05,Underclassman
68,-21,Julian Okwara,Notre Dame,EDGE,"6'5""",241,SR,2020-01-05,Eligible
69,+13,Lucas Niang,TCU,OT,"6'7""",328,SR,2020-01-05,Eligible
70,+19,Zack Baun,Wisconsin,OLB,"6'3""",235,SR,2020-01-05,Eligible
71,+7,Hakeem Adeniji,Kansas,OG,"6'5""",310,SR,2020-01-05,Eligible
72,+23,K.J. Hamler,Penn State,WRS,"5'9""",174,JR,2020-01-05,Declared
73,-8,Marlon Davidson,Auburn,DL5T,"6'3""",278,SR,2020-01-05,Eligible
74,+9,Jeff Gladney,TCU,CB,"5'10""",183,SR,2020-01-05,Eligible
75,+25,Collin Johnson,Texas,WRF,"6'6""",220,SR,2020-01-05,Eligible
76,+16,Jaylon Johnson,Utah,CB,"6'0""",190,JR,2020-01-05,Declared
77,-1,Tyler Huntley,Utah,QB,6'1'',205,SR,2020-01-05,Eligible
78,+37,Donovan Peoples-Jones,Michigan,WRF,"6'2""",208,JR,2020-01-05,Declared
79,+14,Frederick Mauigoa,Washington State,OC,"6'3""",310,SR,2020-01-05,Eligible
80,+51,Chris Orr,Wisconsin,OLB,"6'0""",224,SR,2020-01-05,Eligible
81,+44,Cam Akers,Florida State,RBF,"5'11""",210,JR,2020-01-05,Declared
82,+27,Darrell Taylor,Tennessee,EDGE,"6'4""",247,SR,2020-01-05,Eligible
83,+1,Ashtyn Davis,California,S,"6'1""",201,RSR,2020-01-05,Eligible
84,+22,Deommodore Lenoir,Oregon,CB,"5'11""",212,SR,2020-01-05,Eligible
85,+11,Netane Muti,Fresno State,OG,"6'3""",310,RSO,2020-01-05,Declared
86,+16,Shyheim Carter,Alabama,S,"5'11""",192,SR,2020-01-05,Eligible
87,-24,Najee Harris,Alabama,RBF,"6'2""",230,JR,2020-01-05,Underclassman
88,+23,Antoine Winfield Jr.,Minnesota,S,"5'10""",207,RSO,2020-01-05,Underclassman
89,-14,Jacob Phillips,LSU,ILB,"6'4""",229,JR,2020-01-05,Underclassman
90,+29,Brandon Jones,Texas,S,"6'0""",210,SR,2020-01-05,Eligible
91,+42,Tedarrell Slaton,Florida,DL1T,"6'5""",343,JR,2020-01-05,Underclassman
92,-5,Leki Fotu,Utah,DL1T,"6'5""",330,SR,2020-01-05,Eligible
93,+12,Darryl Williams,Mississippi State,OC,"6'2""",310,SR,2020-01-05,Eligible
94,--,Richard LeCounte,Georgia,S,"5'11""",190,JR,2020-01-05,Declared
95,-29,Jacob Breeland,Oregon,TE,"6'5""",240,RSR,2020-01-05,Eligible
