Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Joe Burrow,LSU,QB,"6'4""",216,SR,2019-12-25,
2,--,Derrick Brown,Auburn,DL1T,"6'5""",318,SR,2019-12-25,
3,--,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2019-12-25,
4,--,Jerry Jeudy,Alabama,WRF,"6'1""",192,JR,2019-12-25,
5,--,Justin Herbert,Oregon,QB,"6'6""",225,SR,2019-12-25,
6,--,Andrew Thomas,Georgia,OT,"6'5""",320,JR,2019-12-25,
7,--,Jeffrey Okudah,Ohio State,CB,"6'1""",200,JR,2019-12-25,
8,+2,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,JR,2019-12-25,
9,+2,A.J. Epenesa,Iowa,DL5T,"6'6""",280,JR,2019-12-25,
10,-2,Austin Jackson,USC,OT,"6'6""",310,JR,2019-12-25,
11,+1,Isaiah Simmons,Clemson,S,"6'4""",225,RJR,2019-12-25,
12,-3,Kristian Fulton,LSU,CB,"6'0""",192,SR,2019-12-25,
13,+1,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,JR,2019-12-25,
14,+1,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2019-12-25,
15,+2,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,SR,2019-12-25,
16,+2,Tua Tagovailoa,Alabama,QB,"6'1""",218,JR,2019-12-25,
17,+2,Tee Higgins,Clemson,WRF,"6'4""",200,JR,2019-12-25,
18,+2,Tyler Biadasz,Wisconsin,OC,"6'3""",315,SR,2019-12-25,
19,+2,Jonathan Taylor,Wisconsin,RBF,"5'11""",215,JR,2019-12-25,
20,+3,Curtis Weaver,Boise State,EDGE,"6'3""",266,RJR,2019-12-25,
21,+4,Trevon Diggs,Alabama,CB,"6'2""",200,JR,2019-12-25,
22,+86,Jedrick Wills,Alabama,OT,"6'5""",316,JR,2019-12-25,
23,-6,Grant Delpit,LSU,S,"6'3""",203,JR,2019-12-25,
24,+3,Laviska Shenault,Colorado,WRF,"6'2""",220,JR,2019-12-25,
25,+3,Raekwon Davis,Alabama,DL3T,"6'7""",306,SR,2019-12-25,
26,+17,Kenneth Murray,Oklahoma,ILB,"6'2""",238,JR,2019-12-25,
27,-4,C.J. Henderson,Florida,CB,"6'1""",186,JR,2019-12-25,
28,+1,Henry Ruggs III,Alabama,WRF,"6'0""",183,JR,2019-12-25,
29,+15,Solomon Kindley,Georgia,OG,"6'4""",335,JR,2019-12-25,
30,+1,Marvin Wilson,Florida State,DL1T,"6'5""",314,JR,2019-12-25,
31,+1,Travis Etienne,Clemson,RBF,"5'10""",200,JR,2019-12-25,
32,-12,Alex Leatherwood,Alabama,OT,"6'6""",304,JR,2019-12-25,
33,+1,D'Andre Swift,Georgia,RBF,"5'9""",215,JR,2019-12-25,
34,+1,Trey Adams,Washington,OT,"6'7""",315,SR,2019-12-25,
35,+5,Anfernee Jennings,Alabama,OLB,"6'3""",259,RSR,2019-12-25,
36,--,Prince Tega Wanogho,Auburn,OT,"6'7""",310,SR,2019-12-25,
37,--,Cameron Dantzler,Mississippi State,CB,"6'2""",185,JR,2019-12-25,
38,+999,Wyatt Davis,Ohio State,OG,"6'4""",313,RSO,2019-12-25,
39,--,Tyler Johnson,Minnesota,WRF,"6'2""",200,SR,2019-12-25,
40,+1,Creed Humphrey,Oklahoma,OC,"6'4""",328,RSO,2019-12-25,
41,-15,Terrell Lewis,Alabama,EDGE,"6'5""",255,RJR,2019-12-25,
42,+6,Xavier McKinney,Alabama,S,"6'1""",196,JR,2019-12-25,
43,+3,Bryce Hall,Virginia,CB,"6'1""",200,SR,2019-12-25,
44,-2,Jalen Hurts,Oklahoma,QB,"6'2""",210,SR,2019-12-25,
45,+34,Troy Dye,Oregon,ILB,"6'4""",224,SR,2019-12-25,
46,-3,J.K. Dobbins,Ohio State,RBF,"5'10""",214,JR,2019-12-25,
47,+999,Isaiah Wilson,Georgia,OT,"6'7""",340,RSO,2019-12-25,
48,+8,Shane Lemieux,Oregon,OG,"6'4""",317,SR,2019-12-25,
49,+14,Julian Okwara,Notre Dame,EDGE,"6'5""",241,SR,2019-12-25,
50,-19,Malik Harrison,Ohio State,ILB,"6'3""",245,SR,2019-12-25,
51,-4,Chuba Hubbard,Oklahoma State,RBF,"6'1""",207,RJR,2019-12-25,
52,-3,Albert Okwuegbunam,Missouri,TE,"6'5""",255,RJR,2019-12-25,
53,-3,Shaun Wade,Ohio State,CB,"6'0""",195,RJR,2019-12-25,
54,-3,Jalen Reagor,TCU,WRS,"5'11""",195,JR,2019-12-25,
55,+34,Jake Hanson,Oregon,OC,"6'5""",297,SR,2019-12-25,
56,-4,DeVonta Smith,Alabama,WRF,"6'1""",193,JR,2019-12-25,
57,--,Jake Fromm,Georgia,QB,"6'2""",220,JR,2019-12-25,
58,--,Ben Bredeson,Michigan,OG,"6'5""",320,SR,2019-12-25,
59,-21,Jabari Zuniga,Florida,EDGE,"6'4""",257,RSR,2019-12-25,
60,--,Paulson Adebo,Stanford,CB,"6'1""",189,JR,2019-12-25,
61,--,Jacob Eason,Washington,QB,"6'6""",228,JR,2019-12-25,
62,+2,Jordyn Brooks,Texas Tech,ILB,"6'1""",245,SR,2019-12-25,
63,+3,Rashard Lawrence,LSU,DL1T,"6'3""",317,SR,2019-12-25,
64,+3,Hamsah Nasirildeen,Florida State,S,"6'3""",216,JR,2019-12-25,
65,+3,Najee Harris,Alabama,RBF,"6'2""",230,JR,2019-12-25,
66,+3,A.J. Terrell,Clemson,CB,"6'2""",190,JR,2019-12-25,
67,-12,Marlon Davidson,Auburn,DL5T,"6'3""",278,SR,2019-12-25,
68,+2,Jacob Breeland,Oregon,TE,"6'5""",240,RSR,2019-12-25,
69,+2,Michael Pittman Jr.,USC,WRF,"6'4""",223,SR,2019-12-25,
70,+23,Mekhi Becton,Louisville,OT,"6'7""",355,JR,2019-12-25,
71,+13,Zack Moss,Utah,RBF,"5'10""",210,SR,2019-12-25,
72,--,Josh Jones,Houston,OT,"6'7""",310,SR,2019-12-25,
73,--,Justin Madubuike,Texas A&M,DL3T,"6'3""",304,RJR,2019-12-25,
74,--,Kenny Willekes,Michigan State,EDGE,"6'4""",260,SR,2019-12-25,
75,--,Jacob Phillips,LSU,ILB,"6'4""",229,JR,2019-12-25,
76,--,Tyler Huntley,Utah,QB,6'1'',205,SR,2019-12-25,
77,+1,Shaquille Quarterman,Miami (FL),ILB,"6'1""",240,SR,2019-12-25,
78,-15,Hakeem Adeniji,Kansas,OG,"6'5""",310,SR,2019-12-25,
79,--,Khalid Kareem,Notre Dame,EDGE,"6'4""",265,SR,2019-12-25,
80,--,Keandre Jones,Maryland,OLB,"6'2""",228,SR,2019-12-25,
81,--,Jordan Mack,Virginia,ILB,"6'2""",230,SR,2019-12-25,
82,--,Lucas Niang,TCU,OT,"6'7""",328,SR,2019-12-25,
83,+1,Jeff Gladney,TCU,CB,"5'10""",183,SR,2019-12-25,
84,+1,Ashtyn Davis,California,S,"6'1""",201,RSR,2019-12-25,
85,+1,K'Lavon Chaisson,LSU,OLB,"6'4""",238,RSO,2019-12-25,
86,+2,James Lynch,Baylor,DL5T,"6'4""",295,JR,2019-12-25,
87,+2,Leki Fotu,Utah,DL1T,"6'5""",330,SR,2019-12-25,
88,+2,Neville Gallimore,Oklahoma,DL1T,"6'2""",330,RSR,2019-12-25,
89,+3,Zack Baun,Wisconsin,OLB,"6'3""",235,SR,2019-12-25,
90,+34,Nick Harris,Washington,OC,"6'1""",302,SR,2019-12-25,
91,+3,Logan Stenberg,Kentucky,OG,"6'6""",326,RSR,2019-12-25,
92,+3,Jaylon Johnson,Utah,CB,"6'0""",190,JR,2019-12-25,
93,+26,Frederick Mauigoa,Washington State,OC,"6'3""",310,SR,2019-12-25,
94,+2,Richard LeCounte,Georgia,S,"5'11""",190,JR,2019-12-25,
95,+2,K.J. Hamler,Penn State,WRS,"5'9""",174,JR,2019-12-25,
96,+2,Netane Muti,Fresno State,OG,"6'3""",310,RSO,2019-12-25,
97,+2,Josh Uche,Michigan,OLB,"6'3""",238,RJR,2019-12-25,
98,+1,Evan Weaver,California,ILB,"6'3""",245,SR,2019-12-25,
99,+1,Collin Johnson,Texas,WRF,"6'6""",220,SR,2019-12-25,
100,+1,Sam Ehlinger,Texas,QB,"6'3""",235,JR,2019-12-25,
101,+1,Shyheim Carter,Alabama,S,"5'11""",192,SR,2019-12-25,
102,+999,Chazz Surratt,North Carolina,OLB,"6'3""",230,JR,2019-12-25,
103,+1,Devin Duvernay,Texas,WRS,"5'11""",186,SR,2019-12-25,
104,-44,Darryl Williams,Mississippi State,OC,"6'2""",310,SR,2019-12-25,
105,--,Deommodore Lenoir,Oregon,CB,"5'11""",212,SR,2019-12-25,
106,--,Jaylen Twyman,Pitt,DL3T,"6'2""",290,RSO,2019-12-25,
107,--,Calvin Throckmorton,Oregon,OT,"6'5""",318,SR,2019-12-25,
108,+1,Darrell Taylor,Tennessee,EDGE,"6'4""",247,SR,2019-12-25,
109,-53,Samuel Cosmi,Texas,OT,"6'5""",295,RSO,2019-12-25,
110,--,Antoine Winfield Jr.,Minnesota,S,"5'10""",207,JR,2019-12-25,
111,+999,Deonte Brown,Alabama,OG,"6'4""",338,JR,2019-12-25,
112,-1,Larrell Murchison,NC State,DL3T,"6'3""",291,SR,2019-12-25,
113,-1,Justin Jefferson,LSU,WRF,"6'2""",185,JR,2019-12-25,
