Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Tua Tagovailoa,Alabama,QB,"6'1""",218,,2019-10-21,
2,--,Chase Young,Ohio State,EDGE,"6'5""",265,,2019-10-21,
3,+19,Joe Burrow,LSU,QB,"6'4""",216,,2019-10-21,
4,+10,Derrick Brown,Auburn,DL1T,"6'5""",318,,2019-10-21,
5,-1,Justin Herbert,Oregon,QB,"6'6""",225,,2019-10-21,
6,-1,Jerry Jeudy,Alabama,WRF,"6'1""",192,,2019-10-21,
7,+19,Jeffrey Okudah,Ohio State,CB,"6'1""",200,,2019-10-21,
8,-2,Andrew Thomas,Georgia,OT,"6'5""",320,,2019-10-21,
9,+4,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,,2019-10-21,
10,--,Laviska Shenault,Colorado,WRF,"6'2""",220,,2019-10-21,
11,-3,Trey Adams,Washington,OT,"6'7""",315,,2019-10-21,
12,-3,Alaric Jackson,Iowa,OT,"6'6""",320,,2019-10-21,
13,-6,A.J. Epenesa,Iowa,EDGE,"6'5""",277,,2019-10-21,
14,+4,Kristian Fulton,LSU,CB,"6'0""",192,,2019-10-21,
15,+6,Henry Ruggs III,Alabama,WRF,"6'0""",183,,2019-10-21,
16,+84,Jordan Love,Utah State,QB,"6'4""",225,,2019-10-21,
17,-2,Calvin Throckmorton,Oregon,OT,"6'5""",318,,2019-10-21,
18,-1,Isaiah Simmons,Clemson,OLB,"6'4""",225,,2019-10-21,
19,+11,Jalen Reagor,TCU,WRS,"5'11""",195,,2019-10-21,
20,+8,Jonathan Taylor,Wisconsin,RBF,"5'11""",215,,2019-10-21,
21,+3,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,,2019-10-21,
22,+7,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,,2019-10-21,
23,-3,Tyler Biadasz,Wisconsin,OG,"6'3""",315,,2019-10-21,
24,-21,Grant Delpit,LSU,S,"6'3""",203,,2019-10-21,
25,-3,Travis Etienne,Clemson,RBF,"5'10""",200,,2019-10-21,
26,+336,Lamar Jackson,Nebraska,CB,"6'2""",215,,2019-10-21,
27,-16,C.J. Henderson,Florida,CB,"6'1""",186,,2019-10-21,
28,-12,Raekwon Davis,Alabama,DL3T,"6'7""",306,,2019-10-21,
29,+9,Malik Harrison,Ohio State,ILB,"6'3""",245,,2019-10-21,
30,+3,Tee Higgins,Clemson,WRF,"6'4""",200,,2019-10-21,
31,+4,Trevon Diggs,Alabama,CB,"6'2""",200,,2019-10-21,
32,+4,Tristan Wirfs,Iowa,OT,"6'5""",320,,2019-10-21,
33,+8,Curtis Weaver,Boise State,EDGE,"6'3""",266,,2019-10-21,
34,+46,Jalen Hurts,Oklahoma,QB,"6'2""",210,,2019-10-21,
35,+4,J.K. Dobbins,Ohio State,RBF,"5'10""",214,,2019-10-21,
36,-5,Xavier McKinney,Alabama,S,"6'1""",196,,2019-10-21,
37,+17,Anfernee Jennings,Alabama,OLB,"6'3""",259,,2019-10-21,
38,+29,Chuba Hubbard,Oklahoma State,RBF,"6'1""",207,,2019-10-21,
39,+1,Darryl Williams,Mississippi State,OC,"6'2""",310,,2019-10-21,
40,+16,Prince Tega Wanogho,Auburn,OT,"6'7""",310,,2019-10-21,
41,-29,Jake Fromm,Georgia,QB,"6'2""",220,,2019-10-21,
42,+45,DeVonta Smith,Alabama,WRF,"6'1""",193,,2019-10-21,
43,+9,Kenny Willekes,Michigan State,EDGE,"6'4""",260,,2019-10-21,
44,-7,Ashtyn Davis,California,S,"6'1""",201,,2019-10-21,
45,+2,Ben Bredeson,Michigan,OG,"6'5""",320,,2019-10-21,
46,+9,Jacob Breeland,Oregon,TE,"6'5""",240,,2019-10-21,
47,+31,Marlon Davidson,Auburn,DL5T,"6'3""",278,,2019-10-21,
48,-5,Alex Leatherwood,Alabama,OT,"6'6""",304,,2019-10-21,
49,-4,Albert Okwuegbunam,Missouri,TE,"6'5""",255,,2019-10-21,
50,+1,Solomon Kindley,Georgia,OG,"6'4""",335,,2019-10-21,
51,-9,Jacob Eason,Washington,QB,"6'6""",228,,2019-10-21,
52,+7,Jaylon Johnson,Utah,CB,"6'0""",190,,2019-10-21,
53,+277,John Hightower,Boise State,WRF,"6'2""",184,,2019-10-21,
54,-6,Lloyd Cushenberry,LSU,OC,"6'3""",312,,2019-10-21,
55,+20,Kenneth Murray,Oklahoma,OLB,"6'2""",238,,2019-10-21,
56,+17,Julian Okwara,Notre Dame,EDGE,"6'5""",241,,2019-10-21,
57,-25,D'Andre Swift,Georgia,RBC,"5'9""",215,,2019-10-21,
58,+7,Yasir Durant,Missouri,OT,"6'7""",330,,2019-10-21,
59,+2,Tommy Kraemer,Notre Dame,OG,"6'6""",319,,2019-10-21,
60,-2,Richard LeCounte,Georgia,S,"5'11""",190,,2019-10-21,
61,+7,Nick Harris,Washington,OC,"6'1""",302,,2019-10-21,
62,--,Justin Madubuike,Texas A&M,DL3T,"6'3""",304,,2019-10-21,
63,-29,Tylan Wallace,Oklahoma State,WRF,"6'0""",185,,2019-10-21,
64,+5,Cam Akers,Florida State,RBF,"5'11""",210,,2019-10-21,
65,+1,A.J. Terrell,Clemson,CB,"6'2""",190,,2019-10-21,
66,-3,Brandon Jones,Texas,S,"6'0""",210,,2019-10-21,
67,+39,Marvin Wilson,Florida State,DL1T,"6'5""",314,,2019-10-21,
68,-24,Jacob Phillips,LSU,ILB,"6'4""",229,,2019-10-21,
69,+76,Tyler Johnson,Minnesota,WRF,"6'2""",200,,2019-10-21,
70,-45,Terrell Lewis,Alabama,EDGE,"6'5""",255,,2019-10-21,
71,+3,Hakeem Adeniji,Kansas,OG,"6'5""",310,,2019-10-21,
72,+9,Sam Ehlinger,Texas,QB,"6'3""",235,,2019-10-21,
73,+4,Michael Pinckney,Miami (FL),OLB,"6'1""",220,,2019-10-21,
74,-3,Lavert Hill,Michigan,CB,"5'11""",181,,2019-10-21,
75,-3,Lucas Niang,TCU,OT,"6'7""",328,,2019-10-21,
76,+101,Joe Gaziano,Northwestern,DL5T,"6'4""",275,,2019-10-21,
77,+133,Raequan Williams,Michigan State,DL3T,"6'4""",298,,2019-10-21,
78,+1,K.J. Costello,Stanford,QB,"6'5""",215,,2019-10-21,
79,-9,Alohi Gilman,Notre Dame,S,"5'11""",201,,2019-10-21,
80,-4,Kevin Jarvis,Michigan State,OG,"6'4""",317,,2019-10-21,
81,-24,Rashard Lawrence,LSU,DL1T,"6'3""",317,,2019-10-21,
82,NEW,Jaylen Twyman,Pitt,DL3T,"6'2""",290,,2019-10-21,
83,NEW,Deommodore Lenoir,Oregon,CB,"5'11""",212,,2019-10-21,
84,+21,Donovan Peoples-Jones,Michigan,WRF,"6'2""",208,,2019-10-21,
85,-62,Troy Dye,Oregon,ILB,"6'4""",224,,2019-10-21,
86,-3,Saahdiq Charles,LSU,OT,"6'5""",305,,2019-10-21,
87,+82,Evan Weaver,California,ILB,"6'3""",245,,2019-10-21,
88,-4,Brycen Hopkins,Purdue,TE,"6'5""",245,,2019-10-21,
89,+3,Anthony McFarland Jr.,Maryland,RBC,"5'8""",193,,2019-10-21,
90,+4,Antoine Winfield Jr.,Minnesota,S,"5'10""",207,,2019-10-21,
91,-1,Eno Benjamin,Arizona State,RBF,"5'10""",201,,2019-10-21,
92,-7,Sean Pollard,Clemson,OC,"6'5""",320,,2019-10-21,
93,+83,Jordan Mack,Virginia,ILB,"6'2""",230,,2019-10-21,
94,+44,Benito Jones,Ole Miss,DL1T,"6'1""",326,,2019-10-21,
95,+8,Logan Stenberg,Kentucky,OG,"6'6""",326,,2019-10-21,
96,-50,Shaquille Quarterman,Miami (FL),ILB,"6'1""",240,,2019-10-21,
97,NEW,Nico Collins,Michigan,WRF,"6'4""",222,,2019-10-21,
98,+25,Jabari Zuniga,Florida,EDGE,"6'4""",257,,2019-10-21,
99,+23,Khalid Kareem,Notre Dame,EDGE,"6'4""",265,,2019-10-21,
100,+56,Jared Pinkney,Vanderbilt,TE,"6'4""",255,,2019-10-21,
101,-82,Bryce Hall,Virginia,CB,"6'1""",200,,2019-10-21,
102,-38,Steven Montez,Colorado,QB,"6'5""",230,,2019-10-21,
103,+45,Alton Robinson,Syracuse,EDGE,"6'4""",257,,2019-10-21,
104,--,Joe Bachie,Michigan State,ILB,"6'2""",238,,2019-10-21,
105,+9,Glen Logan,LSU,DL5T,"6'4""",297,,2019-10-21,
106,+9,K.J. Hamler,Penn State,WRS,"5'9""",174,,2019-10-21,
107,+3,T.J. McCoy,Louisville,OC,"6'1""",315,,2019-10-21,
108,-13,K'Lavon Chaisson,LSU,OLB,"6'4""",238,,2019-10-21,
109,NEW,Hamilcar Rashed Jr.,Oregon State,OLB,"6'4""",236,,2019-10-21,
110,-17,Colby Parkinson,Stanford,TE,"6'7""",240,,2019-10-21,
111,-4,Liam Eichenberg,Notre Dame,OT,"6'6""",305,,2019-10-21,
112,+18,Trey Smith,Tennessee,OG,"6'6""",337,,2019-10-21,
113,+81,Josh Uche,Michigan,OLB,"6'3""",238,,2019-10-21,
114,+169,Larrell Murchison,NC State,DL5T,"6'3""",291,,2019-10-21,
115,-4,Darrell Taylor,Tennessee,EDGE,"6'4""",247,,2019-10-21,
116,-30,Dontavious Jackson,Florida State,ILB,"6'3""",233,,2019-10-21,
117,-68,Collin Johnson,Texas,WRF,"6'6""",220,,2019-10-21,
118,-27,Darnay Holmes,UCLA,CB,"5'10""",198,,2019-10-21,
119,+21,Shane Lemieux,Oregon,OG,"6'4""",317,,2019-10-21,
120,-3,J.R. Reed,Georgia,S,"6'1""",199,,2019-10-21,
121,+10,Keandre Jones,Maryland,OLB,"6'2""",228,,2019-10-21,
122,+27,Zack Shackelford,Texas,OC,"6'4""",305,,2019-10-21,
123,+3,Shea Patterson,Michigan,QB,"6'2""",200,,2019-10-21,
124,+150,Oluwole Betiku,Illinois,EDGE,"6'3""",240,,2019-10-21,
125,-43,Neville Gallimore,Oklahoma,DL1T,"6'2""",330,,2019-10-21,
126,+55,Khalil Davis,Nebraska,DL1T,"6'2""",310,,2019-10-21,
127,+20,Jonathan Garvin,Miami (FL),EDGE,"6'4""",250,,2019-10-21,
128,+16,McTelvin Agim,Arkansas,DL5T,"6'3""",279,,2019-10-21,
129,-102,Nick Coe,Auburn,EDGE,"6'5""",282,,2019-10-21,
130,+32,Scottie Phillips,Ole Miss,RBC,"5'8""",212,,2019-10-21,
131,NEW,Zack Baun,Wisconsin,OLB,"6'3""",235,,2019-10-21,
132,-11,Akeem Davis- Gaither,Appalachian State,OLB,"6'2""",210,,2019-10-21,
133,NEW,Cheyenne O'Grady,Arkansas,TE,"6'4""",256,,2019-10-21,
134,-35,Shyheim Carter,Alabama,CB,"6'0""",195,,2019-10-21,
135,+11,A.J. Dillon,Boston College,RBF,"6'0""",245,,2019-10-21,
136,+83,Michael Pittman Jr.,USC,WRF,"6'4""",223,,2019-10-21,
137,+20,Justin Jefferson,LSU,WRF,"6'2""",185,,2019-10-21,
138,-5,Brian Lewerke,Michigan State,QB,"6'3""",214,,2019-10-21,
139,+11,Damon Arnette,Ohio State,CB,"6'0""",195,,2019-10-21,
140,NEW,Sage Surratt,Wake Forest,WRF,"6'3""",215,,2019-10-21,
141,-9,Mekhi Becton,Louisville,OT,"6'7""",355,,2019-10-21,
142,-53,Anthony Hines,Texas A&M,OLB,"6'3""",226,,2019-10-21,
143,-1,Nate Stanley,Iowa,QB,"6'4""",243,,2019-10-21,
144,+106,Tedarrell Slaton,Florida,DL1T,"6'5""",343,,2019-10-21,
145,-49,Najee Harris,Alabama,RBF,"6'2""",230,,2019-10-21,
146,-45,Darrion Daniels,Nebraska,DL1T,"6'3""",320,,2019-10-21,
147,+11,Scott Frantz,Kansas State,OT,"6'5""",303,,2019-10-21,
148,-50,Mustafa Johnson,Colorado,DL3T,"6'2""",290,,2019-10-21,
149,-15,Hamsah Nasirildeen,Florida State,S,"6'3""",216,,2019-10-21,
150,-14,Damien Lewis,LSU,OG,"6'2""",335,,2019-10-21,
151,NEW,Cole Kmet,Notre Dame,TE,6'6',255,,2019-10-21,
152,+45,Patrick Johnson,Tulane,EDGE,"6'3""",255,,2019-10-21,
153,-10,T.J. Carter,Memphis,CB,"5'11""",180,,2019-10-21,
154,+24,Frederick Mauigoa,Washington State,OC,"6'3""",310,,2019-10-21,
