Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Joe Burrow,LSU,QB,"6'4""",216,SR,2020-03-02,
2,--,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2020-03-02,
3,--,Jeffrey Okudah,Ohio State,CB,"6'1""",200,JR,2020-03-02,
4,+2,Isaiah Simmons,Clemson,OLB,"6'4""",225,RJR,2020-03-02,
5,+5,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2020-03-02,
6,-2,Derrick Brown,Auburn,DL3T,"6'5""",318,SR,2020-03-02,
7,--,Tua Tagovailoa,Alabama,QB,"6'1""",218,JR,2020-03-02,
8,--,Justin Herbert,Oregon,QB,"6'6""",225,SR,2020-03-02,
9,--,Jerry Jeudy,Alabama,WR,"6'1""",192,JR,2020-03-02,
10,+12,Mekhi Becton,Louisville,OT,"6'7""",355,JR,2020-03-02,
11,-6,Andrew Thomas,Georgia,OT,"6'5""",320,JR,2020-03-02,
12,--,CeeDee Lamb,Oklahoma,WR,"6'2""",189,JR,2020-03-02,
13,--,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,SR,2020-03-02,
14,--,K'Lavon Chaisson,LSU,OLB,"6'4""",238,RSO,2020-03-02,
15,-9,Jedrick Wills,Alabama,OT,"6'5""",316,JR,2020-03-02,
16,+10,Henry Ruggs III,Alabama,WR,"6'0""",183,JR,2020-03-02,
17,--,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,JR,2020-03-02,
18,-6,Trevon Diggs,Alabama,CB,"6'2""",200,JR,2020-03-02,
19,-10,A.J. Epenesa,Iowa,DL5T,"6'6""",280,JR,2020-03-02,
20,--,Jonathan Taylor,Wisconsin,RB,"5'11""",215,JR,2020-03-02,
21,--,Xavier McKinney,Alabama,S,"6'1""",196,JR,2020-03-02,
22,+21,Justin Jefferson,LSU,WR,"6'2""",185,JR,2020-03-02,
23,--,Tee Higgins,Clemson,WR,"6'4""",200,JR,2020-03-02,
24,--,C.J. Henderson,Florida,CB,"6'1""",186,JR,2020-03-02,
25,+10,Josh Jones,Houston,OT,"6'7""",310,SR,2020-03-02,
26,+24,Netane Muti,Fresno State,OG,"6'3""",310,RJR,2020-03-02,
27,-7,Laviska Shenault,Colorado,WR,"6'2""",220,JR,2020-03-02,
28,--,Kenneth Murray,Oklahoma,ILB,"6'2""",238,JR,2020-03-02,
29,-12,Kristian Fulton,LSU,CB,"6'0""",192,SR,2020-03-02,
30,+31,Cesar Ruiz,Michigan,OC,"6'4""",319,JR,2020-03-02,
31,+28,Justin Madubuike,Texas A&M,DL3T,"6'3""",304,RJR,2020-03-02,
32,--,Antoine Winfield Jr.,Minnesota,S,"5'10""",207,RSO,2020-03-02,
33,+6,Jordan Love,Utah State,QB,"6'4""",225,JR,2020-03-02,
34,-5,D'Andre Swift,Georgia,RB,"5'9""",215,JR,2020-03-02,
35,+16,A.J. Terrell,Clemson,CB,"6'2""",190,JR,2020-03-02,
36,--,Grant Delpit,LSU,S,"6'3""",203,JR,2020-03-02,
37,--,Neville Gallimore,Oklahoma,DL1T,"6'2""",330,RSR,2020-03-02,
38,-6,Jalen Reagor,TCU,WRS,"5'11""",195,JR,2020-03-02,
39,-11,Austin Jackson,USC,OT,"6'6""",310,JR,2020-03-02,
40,-9,Solomon Kindley,Georgia,OG,"6'4""",335,JR,2020-03-02,
41,-7,Lloyd Cushenberry,LSU,OC,"6'3""",312,RJR,2020-03-02,
42,+19,Hunter Bryant,Washington,TE,"6'2""",241,SR,2020-03-02,
43,--,Damon Arnette,Ohio State,CB,"6'0""",195,SR,2020-03-02,
44,-5,Shane Lemieux,Oregon,OG,"6'4""",317,SR,2020-03-02,
45,+25,Kyle Dugger,Lenoir–Rhyne,S,"6'2""",205,SR,2020-03-02,
46,-14,J.K. Dobbins,Ohio State,RB,"5'10""",214,JR,2020-03-02,
47,--,Zack Baun,Wisconsin,OLB,"6'3""",235,SR,2020-03-02,
48,+86,Jabari Zuniga,Florida,EDGE,"6'4""",257,RSR,2020-03-02,
49,--,Jake Fromm,Georgia,QB,"6'2""",220,JR,2020-03-02,
50,+44,Ross Blacklock,TCU,DL3T,"6'4""",305,JR,2020-03-02,
51,--,Bryce Hall,Virginia,CB,"6'1""",200,SR,2020-03-02,
52,+41,Denzel Mims,Baylor,WR,"6'3""",197,SR,2020-03-02,
53,+22,Julian Okwara,Notre Dame,EDGE,"6'5""",241,SR,2020-03-02,
54,+17,Marlon Davidson,Auburn,DL5T,"6'3""",278,SR,2020-03-02,
55,--,Patrick Queen,LSU,ILB,"6'2""",232,JR,2020-03-02,
56,--,Terrell Lewis,Alabama,EDGE,"6'5""",255,RJR,2020-03-02,
57,+18,Jaylon Johnson,Utah,CB,"6'0""",190,JR,2020-03-02,
58,--,K.J. Hamler,Penn State,WRS,"5'9""",174,JR,2020-03-02,
59,-27,Curtis Weaver,Boise State,EDGE,"6'3""",266,RJR,2020-03-02,
60,--,James Lynch,Baylor,DL5T,"6'4""",295,JR,2020-03-02,
61,--,Prince Tega Wanogho,Auburn,OT,"6'7""",310,SR,2020-03-02,
62,--,Brandon Aiyuk,Arizona State,WR,"6'0""",208,SR,2020-03-02,
63,+15,Albert Okwuegbunam,Missouri,TE,"6'5""",255,RJR,2020-03-02,
64,--,Jeff Gladney,TCU,CB,"5'10""",183,SR,2020-03-02,
65,+47,Cole Kmet,Notre Dame,TE,6'6',255,JR,2020-03-02,
66,--,Isaiah Wilson,Georgia,OT,"6'7""",340,rSO,2020-03-02,
67,--,Ben Bredeson,Michigan,OG,"6'5""",320,SR,2020-03-02,
68,-22,Tyler Biadasz,Wisconsin,OC,"6'3""",315,SR,2020-03-02,
69,--,Clyde Edwards-Helaire,LSU,RB,"5'9""",212,JR,2020-03-02,
70,+4,Jalen Hurts,Oklahoma,QB,"6'2""",210,SR,2020-03-02,
71,--,Michael Pittman Jr.,USC,WR,"6'4""",223,SR,2020-03-02,
72,--,Tyler Johnson,Minnesota,WR,"6'2""",200,SR,2020-03-02,
73,--,Malik Harrison,Ohio State,ILB,"6'3""",245,SR,2020-03-02,
74,-21,John Simpson,Clemson,OG,"6'4""",330,SR,2020-03-02,
