Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,+2,Joe Burrow,LSU,QB,"6'4""",216,,2019-12-10,
2,+2,Derrick Brown,Auburn,DL1T,"6'5""",318,,2019-12-10,
3,-1,Chase Young,Ohio State,EDGE,"6'5""",265,,2019-12-10,
4,+2,Jerry Jeudy,Alabama,WRF,"6'1""",192,,2019-12-10,
5,--,Justin Herbert,Oregon,QB,"6'6""",225,,2019-12-10,
6,+2,Andrew Thomas,Georgia,OT,"6'5""",320,,2019-12-10,
7,--,Jeffrey Okudah,Ohio State,CB,"6'1""",200,,2019-12-10,
8,NEW,Austin Jackson,USC,OT,"6'6""",310,,2019-12-10,
9,+5,Kristian Fulton,LSU,CB,"6'0""",192,,2019-12-10,
10,-1,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,,2019-12-10,
11,+2,A.J. Epenesa,Iowa,DL5T,"6'6""",280,,2019-12-10,
12,+6,Isaiah Simmons,Clemson,S,"6'4""",225,,2019-12-10,
13,+35,Alex Leatherwood,Alabama,OT,"6'6""",304,,2019-12-10,
14,+7,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,,2019-12-10,
15,+17,Tristan Wirfs,Iowa,OT,"6'5""",320,,2019-12-10,
16,+8,Grant Delpit,LSU,S,"6'3""",203,,2019-12-10,
17,+5,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,,2019-12-10,
18,-17,Tua Tagovailoa,Alabama,QB,"6'1""",218,,2019-12-10,
19,+11,Tee Higgins,Clemson,WRF,"6'4""",200,,2019-12-10,
20,+3,Tyler Biadasz,Wisconsin,OG,"6'3""",315,,2019-12-10,
21,-1,Jonathan Taylor,Wisconsin,RBF,"5'11""",215,,2019-12-10,
22,+5,C.J. Henderson,Florida,CB,"6'1""",186,,2019-12-10,
23,+10,Curtis Weaver,Boise State,EDGE,"6'3""",266,,2019-12-10,
24,+46,Terrell Lewis,Alabama,EDGE,"6'5""",255,,2019-12-10,
25,+6,Trevon Diggs,Alabama,CB,"6'2""",200,,2019-12-10,
26,-16,Laviska Shenault,Colorado,WRF,"6'2""",220,,2019-12-10,
27,+1,Raekwon Davis,Alabama,DL3T,"6'7""",306,,2019-12-10,
28,-13,Henry Ruggs III,Alabama,WRF,"6'0""",183,,2019-12-10,
29,--,Malik Harrison,Ohio State,ILB,"6'3""",245,,2019-12-10,
30,+37,Marvin Wilson,Florida State,DL1T,"6'5""",314,,2019-12-10,
31,-6,Travis Etienne,Clemson,RBF,"5'10""",200,,2019-12-10,
32,+25,D'Andre Swift,Georgia,RBF,"5'9""",215,,2019-12-10,
33,-22,Trey Adams,Washington,OT,"6'7""",315,,2019-12-10,
34,+6,Prince Tega Wanogho,Auburn,OT,"6'7""",310,,2019-12-10,
35,+260,Cameron Dantzler,Mississippi State,CB,"6'2""",185,,2019-12-10,
36,+62,Jabari Zuniga,Florida,EDGE,"6'4""",257,,2019-12-10,
37,+32,Tyler Johnson,Minnesota,WRF,"6'2""",200,,2019-12-10,
38,-1,Anfernee Jennings,Alabama,OLB,"6'3""",259,,2019-12-10,
39,NEW,Creed Humphrey,Oklahoma,OC,"6'4""",328,,2019-12-10,
40,-6,Jalen Hurts,Oklahoma,QB,"6'2""",210,,2019-12-10,
41,-6,J.K. Dobbins,Ohio State,RBF,"5'10""",214,,2019-12-10,
42,+13,Kenneth Murray,Oklahoma,ILB,"6'2""",238,,2019-12-10,
43,+7,Solomon Kindley,Georgia,OG,"6'4""",335,,2019-12-10,
44,+57,Bryce Hall,Virginia,CB,"6'1""",200,,2019-12-10,
45,-7,Chuba Hubbard,Oklahoma State,RBF,"6'1""",207,,2019-12-10,
46,-10,Xavier McKinney,Alabama,S,"6'1""",196,,2019-12-10,
47,+2,Albert Okwuegbunam,Missouri,TE,"6'5""",255,,2019-12-10,
48,+122,Shaun Wade,Ohio State,CB,"6'0""",195,,2019-12-10,
49,-30,Jalen Reagor,TCU,WRS,"5'11""",195,,2019-12-10,
50,-8,DeVonta Smith,Alabama,WRF,"6'1""",193,,2019-12-10,
51,-12,Darryl Williams,Mississippi State,OC,"6'2""",310,,2019-12-10,
52,-5,Marlon Davidson,Auburn,DL5T,"6'3""",278,,2019-12-10,
53,+66,Shane Lemieux,Oregon,OG,"6'4""",317,,2019-12-10,
54,-13,Jake Fromm,Georgia,QB,"6'2""",220,,2019-12-10,
55,-10,Ben Bredeson,Michigan,OG,"6'5""",320,,2019-12-10,
56,NEW,Samuel Cosmi,Texas,OT,"6'5""",295,,2019-12-10,
57,+216,Paulson Adebo,Stanford,CB,"6'1""",189,,2019-12-10,
58,-7,Jacob Eason,Washington,QB,"6'6""",228,,2019-12-10,
59,-5,Lloyd Cushenberry,LSU,OC,"6'3""",312,,2019-12-10,
60,-4,Julian Okwara,Notre Dame,EDGE,"6'5""",241,,2019-12-10,
61,+140,Jordyn Brooks,Texas Tech,ILB,"6'1""",245,,2019-12-10,
62,+9,Hakeem Adeniji,Kansas,OG,"6'5""",310,,2019-12-10,
63,+18,Rashard Lawrence,LSU,DL1T,"6'3""",317,,2019-12-10,
64,+85,Hamsah Nasirildeen,Florida State,S,"6'3""",216,,2019-12-10,
65,+80,Najee Harris,Alabama,RBF,"6'2""",230,,2019-12-10,
66,-1,A.J. Terrell,Clemson,CB,"6'2""",190,,2019-12-10,
67,-21,Jacob Breeland,Oregon,TE,"6'5""",240,,2019-12-10,
68,+68,Michael Pittman Jr.,USC,WRF,"6'4""",223,,2019-12-10,
69,+142,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",275,,2019-12-10,
70,+356,Josh Jones,Houston,OT,"6'7""",310,,2019-12-10,
71,-9,Justin Madubuike,Texas A&M,DL3T,"6'3""",304,,2019-12-10,
72,+68,Sage Surratt,Wake Forest,WRF,"6'3""",215,,2019-12-10,
73,-30,Kenny Willekes,Michigan State,EDGE,"6'4""",260,,2019-12-10,
74,-6,Jacob Phillips,LSU,ILB,"6'4""",229,,2019-12-10,
75,NEW,Tyler Huntley,Utah,QB,6'1'',205,,2019-12-10,
76,+9,Troy Dye,Oregon,ILB,"6'4""",224,,2019-12-10,
77,+19,Shaquille Quarterman,Miami (FL),ILB,"6'1""",240,,2019-12-10,
78,+21,Khalid Kareem,Notre Dame,EDGE,"6'4""",265,,2019-12-10,
79,+42,Keandre Jones,Maryland,OLB,"6'2""",228,,2019-12-10,
80,+13,Jordan Mack,Virginia,ILB,"6'2""",230,,2019-12-10,
81,-6,Lucas Niang,TCU,OT,"6'7""",328,,2019-12-10,
82,+159,Zack Moss,Utah,RBF,"5'10""",210,,2019-12-10,
83,+264,Jeff Gladney,TCU,CB,"5'10""",183,,2019-12-10,
84,-40,Ashtyn Davis,California,S,"6'1""",201,,2019-12-10,
85,+23,K'Lavon Chaisson,LSU,OLB,"6'4""",238,,2019-12-10,
86,+79,Jake Hanson,Oregon,OC,"6'5""",297,,2019-12-10,
87,NEW,James Lynch,Baylor,DL5T,"6'4""",295,,2019-12-10,
88,+71,Leki Fotu,Utah,DL1T,"6'5""",330,,2019-12-10,
89,+35,Neville Gallimore,Oklahoma,DL1T,"6'2""",330,,2019-12-10,
90,+50,Mekhi Becton,Louisville,OT,"6'7""",355,,2019-12-10,
91,+39,Zack Baun,Wisconsin,OLB,"6'3""",235,,2019-12-10,
92,-20,Michael Pinckney,Miami (FL),OLB,"6'1""",220,,2019-12-10,
93,+1,Logan Stenberg,Kentucky,OG,"6'6""",326,,2019-12-10,
94,-43,Jaylon Johnson,Utah,CB,"6'0""",190,,2019-12-10,
95,-36,Richard LeCounte,Georgia,S,"5'11""",190,,2019-12-10,
96,+9,K.J. Hamler,Penn State,WRS,"5'9""",174,,2019-12-10,
97,NEW,Netane Muti,Fresno State,OG,"6'3""",310,,2019-12-10,
98,+14,Josh Uche,Michigan,OLB,"6'3""",238,,2019-12-10,
99,-13,Evan Weaver,California,ILB,"6'3""",245,,2019-12-10,
100,+16,Collin Johnson,Texas,WRF,"6'6""",220,,2019-12-10,
101,-30,Sam Ehlinger,Texas,QB,"6'3""",235,,2019-12-10,
102,+31,Shyheim Carter,Alabama,S,"5'11""",192,,2019-12-10,
103,+156,Devin Duvernay,Texas,WRS,"5'11""",186,,2019-12-10,
104,-22,Deommodore Lenoir,Oregon,CB,"5'11""",212,,2019-12-10,
105,-24,Jaylen Twyman,Pitt,DL3T,"6'2""",290,,2019-12-10,
106,-90,Calvin Throckmorton,Oregon,OT,"6'5""",318,,2019-12-10,
107,+4,Trey Smith,Tennessee,OG,"6'6""",337,,2019-12-10,
108,+6,Darrell Taylor,Tennessee,EDGE,"6'4""",247,,2019-12-10,
109,-20,Antoine Winfield Jr.,Minnesota,S,"5'10""",207,,2019-12-10,
110,+3,Larrell Murchison,NC State,DL3T,"6'3""",291,,2019-12-10,
111,+25,Justin Jefferson,LSU,WRF,"6'2""",185,,2019-12-10,
112,-29,Donovan Peoples-Jones,Michigan,WRF,"6'2""",208,,2019-12-10,
113,+28,Anthony Hines,Texas A&M,OLB,"6'3""",226,,2019-12-10,
114,+1,Dontavious Jackson,Florida State,ILB,"6'3""",233,,2019-12-10,
115,-50,Brandon Jones,Texas,S,"6'0""",210,,2019-12-10,
116,-14,Alton Robinson,Syracuse,EDGE,"6'4""",257,,2019-12-10,
117,+36,Frederick Mauigoa,Washington State,OC,"6'3""",310,,2019-12-10,
118,+8,Jonathan Garvin,Miami (FL),EDGE,"6'4""",250,,2019-12-10,
119,-26,Benito Jones,Ole Miss,DL1T,"6'1""",326,,2019-12-10,
120,+3,Oluwole Betiku,Illinois,EDGE,"6'3""",240,,2019-12-10,
121,-13,Hamilcar Rashed Jr.,Oregon State,OLB,"6'4""",236,,2019-12-10,
122,-62,Nick Harris,Washington,OC,"6'1""",302,,2019-12-10,
123,-60,Cam Akers,Florida State,RBF,"5'11""",210,,2019-12-10,
124,-49,Joe Gaziano,Northwestern,DL5T,"6'4""",275,,2019-12-10,
125,-49,Raequan Williams,Michigan State,DL3T,"6'4""",298,,2019-12-10,
126,-47,Kevin Jarvis,Michigan State,OG,"6'4""",317,,2019-12-10,
127,NEW,Dele Harding,Illinois,OLB,"6'1""",230,,2019-12-10,
128,+34,Kylin Hill,Mississippi State,RBC,"5'11""",215,,2019-12-10,
129,+312,K'Von Wallace,Clemson,S,"5'11""",210,,2019-12-10,
130,+13,Tedarrell Slaton,Florida,DL1T,"6'5""",343,,2019-12-10,
131,-44,Brycen Hopkins,Purdue,TE,"6'5""",245,,2019-12-10,
132,+361,Jedrick Wills,Alabama,OT,"6'5""",316,,2019-12-10,
133,+1,A.J. Dillon,Boston College,RBF,"6'0""",245,,2019-12-10,
134,-82,John Hightower,Boise State,WRF,"6'2""",184,,2019-12-10,
135,-110,Lamar Jackson,Nebraska,CB,"6'2""",215,,2019-12-10,
136,-74,Tylan Wallace,Oklahoma State,WRF,"6'0""",185,,2019-12-10,
