Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Tua Tagovailoa,Alabama,QB,"6'1""",218,,2019-06-26,
2,--,Jerry Jeudy,Alabama,WRF,"6'1""",192,,2019-06-26,
3,--,Justin Herbert,Oregon,QB,"6'6""",225,,2019-06-26,
4,--,Chase Young,Ohio State,EDGE,"6'5""",265,,2019-06-26,
5,--,Grant Delpit,LSU,S,"6'3""",203,,2019-06-26,
6,--,Andrew Thomas,Georgia,OT,"6'5""",320,,2019-06-26,
7,--,A.J. Epenesa,Iowa,EDGE,"6'6""",280,,2019-06-26,
8,--,Derrick Brown,Auburn,DL3T,"6'5""",318,,2019-06-26,
9,--,Walker Little,Stanford,OT,"6'7""",313,,2019-06-26,
10,--,Laviska Shenault,Colorado,WRF,"6'2""",220,,2019-06-26,
11,--,Jake Fromm,Georgia,QB,"6'2""",220,,2019-06-26,
12,--,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,,2019-06-26,
13,--,Isaiah Simmons,Clemson,OLB,"6'4""",225,,2019-06-26,
14,--,Tee Higgins,Clemson,WRF,"6'4""",200,,2019-06-26,
15,--,C.J. Henderson,Florida,CB,"6'1""",186,,2019-06-26,
16,--,Trey Adams,Washington,OT,"6'7""",315,,2019-06-26,
17,--,Nick Coe,Auburn,DL5T,"6'5""",282,,2019-06-26,
18,--,Jalen Reagor,TCU,WRS,"5'11""",195,,2019-06-26,
19,--,Albert Okwuegbunam,Missouri,TE,"6'5""",255,,2019-06-26,
20,--,Henry Ruggs III,Alabama,WRF,"6'0""",183,,2019-06-26,
21,--,Dylan Moses,Alabama,ILB,"6'3""",233,,2019-06-26,
22,--,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,,2019-06-26,
23,--,Calvin Throckmorton,Oregon,OT,"6'5""",318,,2019-06-26,
24,--,Raekwon Davis,Alabama,DL3T,"6'7""",306,,2019-06-26,
25,--,Kristian Fulton,LSU,CB,"6'0""",192,,2019-06-26,
26,--,Xavier McKinney,Alabama,S,"6'1""",196,,2019-06-26,
27,--,Tyler Biadasz,Wisconsin,OG,"6'3""",315,,2019-06-26,
28,--,Bryce Hall,Virginia,CB,"6'1""",200,,2019-06-26,
29,--,J.K. Dobbins,Ohio State,RBF,"5'10""",214,,2019-06-26,
30,--,Tylan Wallace,Oklahoma State,WRF,"6'0""",185,,2019-06-26,
