Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Joe Burrow,LSU,QB,"6'4""",216,SR,2019-12-30,
2,--,Derrick Brown,Auburn,DL1T,"6'5""",318,SR,2019-12-30,
3,--,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2019-12-30,
4,--,Jerry Jeudy,Alabama,WRF,"6'1""",192,JR,2019-12-30,
5,--,Justin Herbert,Oregon,QB,"6'6""",225,SR,2019-12-30,
6,--,Andrew Thomas,Georgia,OT,"6'5""",320,JR,2019-12-30,
7,--,Jeffrey Okudah,Ohio State,CB,"6'1""",200,JR,2019-12-30,
8,+2,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,JR,2019-12-30,
9,+2,A.J. Epenesa,Iowa,DL5T,"6'6""",280,JR,2019-12-30,
10,-2,Austin Jackson,USC,OT,"6'6""",310,JR,2019-12-30,
11,+1,Isaiah Simmons,Clemson,S,"6'4""",225,RJR,2019-12-30,
12,-3,Kristian Fulton,LSU,CB,"6'0""",192,SR,2019-12-30,
13,+1,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,JR,2019-12-30,
14,+1,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2019-12-30,
15,+2,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,SR,2019-12-30,
16,+2,Tua Tagovailoa,Alabama,QB,"6'1""",218,JR,2019-12-30,
17,+2,Tee Higgins,Clemson,WRF,"6'4""",200,JR,2019-12-30,
18,+2,Tyler Biadasz,Wisconsin,OC,"6'3""",315,SR,2019-12-30,
19,+2,Jonathan Taylor,Wisconsin,RBF,"5'11""",215,JR,2019-12-30,
20,+3,Curtis Weaver,Boise State,EDGE,"6'3""",266,RJR,2019-12-30,
21,+4,Trevon Diggs,Alabama,CB,"6'2""",200,JR,2019-12-30,
22,+36,Jedrick Wills,Alabama,OT,"6'5""",316,JR,2019-12-30,
23,-6,Grant Delpit,LSU,S,"6'3""",203,JR,2019-12-30,
24,+3,Laviska Shenault,Colorado,WRF,"6'2""",220,JR,2019-12-30,
25,+3,Raekwon Davis,Alabama,DL3T,"6'7""",306,SR,2019-12-30,
26,+17,Kenneth Murray,Oklahoma,ILB,"6'2""",238,JR,2019-12-30,
27,-4,C.J. Henderson,Florida,CB,"6'1""",186,JR,2019-12-30,
28,+1,Henry Ruggs III,Alabama,WRF,"6'0""",183,JR,2019-12-30,
29,+15,Solomon Kindley,Georgia,OG,"6'4""",335,JR,2019-12-30,
30,+1,Marvin Wilson,Florida State,DL1T,"6'5""",314,JR,2019-12-30,
31,+1,Travis Etienne,Clemson,RBF,"5'10""",200,JR,2019-12-30,
32,-12,Alex Leatherwood,Alabama,OT,"6'6""",304,JR,2019-12-30,
33,+1,D'Andre Swift,Georgia,RBF,"5'9""",215,JR,2019-12-30,
34,+1,Trey Adams,Washington,OT,"6'7""",315,SR,2019-12-30,
35,+5,Anfernee Jennings,Alabama,OLB,"6'3""",259,RSR,2019-12-30,
36,--,Prince Tega Wanogho,Auburn,OT,"6'7""",310,SR,2019-12-30,
37,--,Cameron Dantzler,Mississippi State,CB,"6'2""",185,JR,2019-12-30,
38,NEW,Wyatt Davis,Ohio State,OG,"6'4""",313,RSO,2019-12-30,
39,--,Tyler Johnson,Minnesota,WRF,"6'2""",200,SR,2019-12-30,
40,+1,Creed Humphrey,Oklahoma,OC,"6'4""",328,RSO,2019-12-30,
41,-15,Terrell Lewis,Alabama,EDGE,"6'5""",255,RJR,2019-12-30,
42,+6,Xavier McKinney,Alabama,S,"6'1""",196,JR,2019-12-30,
43,+3,Bryce Hall,Virginia,CB,"6'1""",200,SR,2019-12-30,
44,-2,Jalen Hurts,Oklahoma,QB,"6'2""",210,SR,2019-12-30,
45,+34,Troy Dye,Oregon,ILB,"6'4""",224,SR,2019-12-30,
46,-3,J.K. Dobbins,Ohio State,RBF,"5'10""",214,JR,2019-12-30,
