Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2020-04-20,
2,--,Joe Burrow,LSU,QB,"6'3""",221,SR,2020-04-20,
3,--,Isaiah Simmons,Clemson,OLB,"6'4""",238,RJR,2020-04-20,
4,--,Tua Tagovailoa,Alabama,QB,"6'0""",217,JR,2020-04-20,
5,--,Derrick Brown,Auburn,DL1T,"6'5""",326,SR,2020-04-20,
6,--,Jeffrey Okudah,Ohio State,CB,"6'1""",205,JR,2020-04-20,
7,--,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2020-04-20,
8,--,Javon Kinlaw,South Carolina,DL3T,"6'5""",324,SR,2020-04-20,
9,--,CeeDee Lamb,Oklahoma,WR,"6'2""",198,JR,2020-04-20,
10,--,Jerry Jeudy,Alabama,WR,"6'1""",193,JR,2020-04-20,
11,--,Mekhi Becton,Louisville,OT,"6'7""",364,JR,2020-04-20,
12,--,Justin Herbert,Oregon,QB,"6'6""",236,SR,2020-04-20,
13,--,Andrew Thomas,Georgia,OT,"6'5""",315,JR,2020-04-20,
14,--,Henry Ruggs III,Alabama,WR,"5'11""",188,JR,2020-04-20,
15,--,K'Lavon Chaisson,LSU,OLB,"6'3""",254,RSO,2020-04-20,
16,--,Jedrick Wills,Alabama,OT,"6'4""",312,JR,2020-04-20,
17,--,C.J. Henderson,Florida,CB,"6'1""",204,JR,2020-04-20,
18,--,Xavier McKinney,Alabama,S,"6'0""",201,JR,2020-04-20,
19,--,Patrick Queen,LSU,OLB,"6'0""",229,JR,2020-04-20,
20,--,Trevon Diggs,Alabama,CB,"6'1""",205,JR,2020-04-20,
21,--,A.J. Epenesa,Iowa,DL5T,"6'5""",275,JR,2020-04-20,
22,--,Justin Jefferson,LSU,WR,"6'1""",202,JR,2020-04-20,
23,--,Yetur Gross-Matos,Penn State,EDGE,"6'5""",266,JR,2020-04-20,
24,--,Kenneth Murray,Oklahoma,ILB,"6'2""",241,JR,2020-04-20,
25,--,Josh Jones,Houston,OT,"6'5""",319,SR,2020-04-20,
26,--,Kristian Fulton,LSU,CB,"6'0""",197,SR,2020-04-20,
27,--,Jalen Reagor,TCU,WRS,"5'11""",206,JR,2020-04-20,
28,--,Justin Madubuike,Texas A&M,DL3T,"6'3""",293,RJR,2020-04-20,
29,--,Tee Higgins,Clemson,WR,"6'4""",216,JR,2020-04-20,
30,--,Antoine Winfield Jr.,Minnesota,S,"5'9""",203,RSO,2020-04-20,
31,--,Ross Blacklock,TCU,DL3T,"6'3""",290,JR,2020-04-20,
32,--,Cesar Ruiz,Michigan,OC,"6'3""",307,JR,2020-04-20,
33,--,D'Andre Swift,Georgia,RB,"5'8""",212,JR,2020-04-20,
34,--,Jordan Love,Utah State,QB,"6'4""",224,JR,2020-04-20,
35,--,Grant Delpit,LSU,S,"6'2""",213,JR,2020-04-20,
36,--,Austin Jackson,USC,OT,"6'5""",322,JR,2020-04-20,
37,--,Netane Muti,Fresno State,OG,"6'3""",315,RJR,2020-04-20,
38,--,Laviska Shenault,Colorado,WR,6'1'',227,JR,2020-04-20,
39,--,A.J. Terrell,Clemson,CB,"6'1""",195,JR,2020-04-20,
40,--,Zack Baun,Wisconsin,OLB,"6'2""",238,SR,2020-04-20,
41,--,Denzel Mims,Baylor,WR,"6'3""",207,SR,2020-04-20,
42,--,Jonathan Taylor,Wisconsin,RB,"5'11""",226,JR,2020-04-20,
43,--,Neville Gallimore,Oklahoma,DL3T,"6'2""",304,RSR,2020-04-20,
44,--,Kyle Dugger,Lenoir–Rhyne,S,"6'1""",217,SR,2020-04-20,
45,--,Lloyd Cushenberry,LSU,OC,"6'3""",312,RJR,2020-04-20,
46,--,Jaylon Johnson,Utah,CB,"6'0""",193,JR,2020-04-20,
47,--,Terrell Lewis,Alabama,EDGE,"6'5""",262,RJR,2020-04-20,
48,--,Jacob Eason,Washington,QB,"6'6""",231,JR,2020-04-20,
49,--,Malik Harrison,Ohio State,ILB,"6'3""",247,SR,2020-04-20,
50,--,Hunter Bryant,Washington,TE,"6'2""",248,SR,2020-04-20,
51,--,Brandon Aiyuk,Arizona State,WR,"6'0""",205,SR,2020-04-20,
52,--,Jordan Elliott,Missouri,DL3T,"6'4""",302,RJR,2020-04-20,
53,--,Isaiah Wilson,Georgia,OT,"6'7""",350,rSO,2020-04-20,
54,--,J.K. Dobbins,Ohio State,RB,"5'9""",209,JR,2020-04-20,
55,--,James Lynch,Baylor,DL5T,"6'4""",295,JR,2020-04-20,
56,--,Jeff Gladney,TCU,CB,"5'10""",191,SR,2020-04-20,
57,--,Jabari Zuniga,Florida,EDGE,"6'3""",264,RSR,2020-04-20,
58,--,K.J. Hamler,Penn State,WRS,"5'9""",178,JR,2020-04-20,
59,--,Bryce Hall,Virginia,CB,"6'1""",202,SR,2020-04-20,
60,--,Jake Fromm,Georgia,QB,"6'2""",219,JR,2020-04-20,
61,--,Ezra Cleveland,Boise State,OT,"6'6""",311,rJR,2020-04-20,
62,--,Noah Igbinoghene,Auburn,CB,"5'11""",200,JR,2020-04-20,
63,--,Troy Dye,Oregon,ILB,"6'3""",231,SR,2020-04-20,
64,--,Shane Lemieux,Oregon,OG,"6'4""",310,SR,2020-04-20,
65,--,Marlon Davidson,Auburn,DL5T,"6'3""",303,SR,2020-04-20,
66,--,Curtis Weaver,Boise State,EDGE,"6'2""",265,RJR,2020-04-20,
67,--,Davon Hamilton,Ohio State,DL1T,"6'4""",320,SR,2020-04-20,
68,--,Damien Lewis,LSU,OG,"6'2""",327,SR,2020-04-20,
69,--,Michael Pittman Jr.,USC,WR,"6'4""",223,SR,2020-04-20,
70,--,Raekwon Davis,Alabama,DL3T,"6'6""",311,SR,2020-04-20,
71,--,McTelvin Agim,Arkansas,DL3T,"6'3""",309,SR,2020-04-20,
72,--,Jalen Hurts,Oklahoma,QB,"6'2""",210,SR,2020-04-20,
73,--,Tyler Johnson,Minnesota,WR,"6'2""",200,SR,2020-04-20,
74,--,Cole Kmet,Notre Dame,TE,"6'6""",262,JR,2020-04-20,
75,--,Damon Arnette,Ohio State,CB,"6'0""",195,SR,2020-04-20,
76,--,Julian Okwara,Notre Dame,EDGE,"6'4""",252,SR,2020-04-20,
77,--,Josh Uche,Michigan,OLB,"6'1""",245,RJR,2020-04-20,
78,--,Matt Peart,Connecticut,OT,"6'7""",318,RSR,2020-04-20,
79,--,Cameron Dantzler,Mississippi State,CB,"6'2""",188,JR,2020-04-20,
80,--,Robert Hunt,Louisiana-Lafayette,OT,"6'5""",323,SR,2020-04-20,
81,--,Chase Claypool,Notre Dame,WR,"6'4""",238,SR,2020-04-20,
82,--,Troy Pride Jr.,Notre Dame,CB,"5'11""",194,SR,2020-04-20,
83,--,Jordyn Brooks,Texas Tech,ILB,"6'0""",240,SR,2020-04-20,
84,--,Zack Moss,Utah,RB,"5'9""",223,SR,2020-04-20,
85,--,Cam Akers,Florida State,RB,"5'10""",217,JR,2020-04-20,
86,--,Jeremy Chinn,Southern Illinois,S,"6'3""",221,SR,2020-04-20,
87,--,Ashtyn Davis,California,S,"6'1""",202,RSR,2020-04-20,
88,--,Amik Robertson,Louisiana Tech,CB,"5'9""",183,JR,2020-04-20,
89,--,Ben Bartch,St. John's,OG,"6'6""",305,SR,2020-04-20,
90,--,Darrell Taylor,Tennessee,EDGE,"6'4""",267,SR,2020-04-20,
91,--,K.J. Hill,Ohio State,WR,"6'0""",195,SR,2020-04-20,
92,--,Davion Taylor,Colorado,OLB,"6'0""",228,SR,2020-04-20,
93,--,Terrell Burgess,Utah,S,"6'0""",194,SR,2020-04-20,
94,--,Willie Gay Jr.,Mississippi State,OLB,"6'2""",243,JR,2020-04-20,
95,--,Bryan Edwards,South Carolina,WR,"6'3""",215,SR,2020-04-20,
