Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Tua Tagovailoa,Alabama,QB,"6'1""",218,,2019-08-21,
2,+1,Chase Young,Ohio State,EDGE,"6'5""",265,,2019-08-21,
3,-1,Justin Herbert,Oregon,QB,"6'6""",225,,2019-08-21,
4,+3,Jerry Jeudy,Alabama,WRF,"6'1""",192,,2019-08-21,
5,+1,A.J. Epenesa,Iowa,DL5T,"6'6""",280,,2019-08-21,
6,+5,Jake Fromm,Georgia,QB,"6'2""",220,,2019-08-21,
7,+1,Grant Delpit,LSU,S,"6'3""",203,,2019-08-21,
8,-3,Derrick Brown,Auburn,DL3T,"6'5""",318,,2019-08-21,
9,-5,Andrew Thomas,Georgia,OT,"6'5""",320,,2019-08-21,
10,+3,Raekwon Davis,Alabama,DL3T,"6'7""",306,,2019-08-21,
11,-2,Laviska Shenault,Colorado,WRF,"6'2""",220,,2019-08-21,
12,-2,Walker Little,Stanford,OT,"6'7""",313,,2019-08-21,
13,+3,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,,2019-08-21,
14,+1,C.J. Henderson,Florida,CB,"6'1""",186,,2019-08-21,
15,-3,Trey Adams,Washington,OT,"6'7""",315,,2019-08-21,
16,-2,Tee Higgins,Clemson,WRF,"6'4""",200,,2019-08-21,
17,+2,Isaiah Simmons,Clemson,OLB,"6'4""",225,,2019-08-21,
18,+3,Jalen Reagor,TCU,WRS,"5'11""",195,,2019-08-21,
19,+1,Alaric Jackson,Iowa,OT,"6'6""",320,,2019-08-21,
20,-2,Dylan Moses,Alabama,ILB,"6'3""",233,,2019-08-21,
21,+6,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,,2019-08-21,
22,+11,Terrell Lewis,Alabama,EDGE,"6'5""",255,,2019-08-21,
23,--,Kristian Fulton,LSU,CB,"6'0""",192,,2019-08-21,
24,-2,Nick Coe,Auburn,DL5T,"6'5""",282,,2019-08-21,
25,-1,Henry Ruggs III,Alabama,WRF,"6'0""",183,,2019-08-21,
26,+8,Travis Etienne,Clemson,RBF,"5'10""",200,,2019-08-21,
27,+1,Tyler Biadasz,Wisconsin,OG,"6'3""",315,,2019-08-21,
28,+56,Jeffrey Okudah,Ohio State,CB,"6'1""",200,,2019-08-21,
29,-3,J.K. Dobbins,Ohio State,RBF,"5'10""",214,,2019-08-21,
30,+1,D'Andre Swift,Georgia,RBC,"5'9""",215,,2019-08-21,
31,+14,LaBryan Ray,Alabama,DL5T,"6'5""",285,,2019-08-21,
32,-7,Xavier McKinney,Alabama,S,"6'1""",196,,2019-08-21,
33,-4,Bryce Hall,Virginia,CB,"6'1""",200,,2019-08-21,
34,+19,Anfernee Jennings,Alabama,EDGE,"6'3""",259,,2019-08-21,
35,+8,Shaquille Quarterman,Miami (FL),ILB,"6'1""",240,,2019-08-21,
36,-1,Jacob Eason,Washington,QB,"6'6""",228,,2019-08-21,
37,+2,Jonathan Taylor,Wisconsin,RBF,"5'11""",215,,2019-08-21,
38,-1,Calvin Throckmorton,Oregon,OT,"6'5""",318,,2019-08-21,
39,-7,Trevon Diggs,Alabama,CB,"6'2""",200,,2019-08-21,
40,-10,Tylan Wallace,Oklahoma State,WRF,"6'0""",185,,2019-08-21,
41,+1,Jacob Phillips,LSU,ILB,"6'4""",229,,2019-08-21,
42,+5,Donovan Peoples-Jones,Michigan,WRF,"6'2""",208,,2019-08-21,
43,-26,Albert Okwuegbunam,Missouri,TE,"6'5""",255,,2019-08-21,
44,+25,Darryl Williams,Mississippi State,OC,"6'2""",310,,2019-08-21,
45,NEW,Ashtyn Davis,California,S,"6'1""",201,,2019-08-21,
46,-6,Kenny Willekes,Michigan State,EDGE,"6'4""",260,,2019-08-21,
47,+5,Tommy Kraemer,Notre Dame,OG,"6'6""",319,,2019-08-21,
48,-4,Trey Smith,Tennessee,OT,"6'6""",337,,2019-08-21,
49,-11,Michael Divinity Jr.,LSU,OLB,"6'2""",238,,2019-08-21,
50,+8,Ben Bredeson,Michigan,OG,"6'5""",320,,2019-08-21,
51,-2,Shea Patterson,Michigan,QB,"6'2""",200,,2019-08-21,
52,+18,Curtis Weaver,Boise State,EDGE,"6'3""",266,,2019-08-21,
53,-2,Collin Johnson,Texas,WRF,"6'6""",220,,2019-08-21,
54,NEW,Lloyd Cushenberry,LSU,OC,"6'3""",312,,2019-08-21,
55,-1,Michael Pinckney,Miami (FL),OLB,"6'1""",220,,2019-08-21,
56,+6,T.J. Vasher,Texas Tech,WRF,"6'6""",190,,2019-08-21,
57,-2,Eno Benjamin,Arizona State,RBF,"5'10""",201,,2019-08-21,
58,-8,Colby Parkinson,Stanford,TE,"6'7""",240,,2019-08-21,
59,+2,Tarik Black,Michigan,WRF,"6'3""",215,,2019-08-21,
60,-4,Tristan Wirfs,Iowa,OT,"6'5""",320,,2019-08-21,
61,+5,Marlon Davidson,Auburn,DL5T,"6'3""",278,,2019-08-21,
62,-26,Jaylon Johnson,Utah,CB,"6'0""",190,,2019-08-21,
63,-4,Khalid Kareem,Notre Dame,EDGE,"6'4""",265,,2019-08-21,
64,-18,Rashard Lawrence,LSU,DL1T,"6'3""",317,,2019-08-21,
65,NEW,Jonah Jackson,Ohio State,OG,"6'3""",309,,2019-08-21,
66,-3,A.J. Terrell,Clemson,CB,"6'2""",190,,2019-08-21,
67,+27,Alex Leatherwood,Alabama,OG,"6'6""",304,,2019-08-21,
68,-20,Richard LeCounte,Georgia,S,"5'11""",190,,2019-08-21,
69,+2,Steven Montez,Colorado,QB,"6'5""",230,,2019-08-21,
70,-10,Julian Okwara,Notre Dame,EDGE,"6'5""",241,,2019-08-21,
71,-30,T.J. McCoy,Louisville,OC,"6'1""",315,,2019-08-21,
72,+6,Willie Gay Jr.,Mississippi State,OLB,"6'2""",235,,2019-08-21,
73,+7,Cam Akers,Florida State,RBF,"5'11""",210,,2019-08-21,
