Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Tua Tagovailoa,Alabama,QB,"6'1""",218,,2019-08-29,
2,+1,Chase Young,Ohio State,EDGE,"6'5""",265,,2019-08-29,
3,-1,Justin Herbert,Oregon,QB,"6'6""",225,,2019-08-29,
4,+3,Jerry Jeudy,Alabama,WRF,"6'1""",192,,2019-08-29,
5,+1,A.J. Epenesa,Iowa,DL5T,"6'6""",280,,2019-08-29,
6,+5,Jake Fromm,Georgia,QB,"6'2""",220,,2019-08-29,
7,+1,Grant Delpit,LSU,S,"6'3""",203,,2019-08-29,
8,-3,Derrick Brown,Auburn,DL3T,"6'5""",318,,2019-08-29,
9,-5,Andrew Thomas,Georgia,OT,"6'5""",320,,2019-08-29,
10,+3,Raekwon Davis,Alabama,DL3T,"6'7""",306,,2019-08-29,
11,-2,Laviska Shenault,Colorado,WRF,"6'2""",220,,2019-08-29,
12,-2,Walker Little,Stanford,OT,"6'7""",313,,2019-08-29,
13,+3,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,,2019-08-29,
14,+1,C.J. Henderson,Florida,CB,"6'1""",186,,2019-08-29,
15,-3,Trey Adams,Washington,OT,"6'7""",315,,2019-08-29,
16,-2,Tee Higgins,Clemson,WRF,"6'4""",200,,2019-08-29,
17,+2,Isaiah Simmons,Clemson,OLB,"6'4""",225,,2019-08-29,
18,+3,Jalen Reagor,TCU,WRS,"5'11""",195,,2019-08-29,
19,+1,Alaric Jackson,Iowa,OT,"6'6""",320,,2019-08-29,
20,+6,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,,2019-08-29,
21,+11,Terrell Lewis,Alabama,EDGE,"6'5""",255,,2019-08-29,
22,--,Kristian Fulton,LSU,CB,"6'0""",192,,2019-08-29,
23,-2,Nick Coe,Auburn,DL5T,"6'5""",282,,2019-08-29,
24,-1,Henry Ruggs III,Alabama,WRF,"6'0""",183,,2019-08-29,
25,+8,Travis Etienne,Clemson,RBF,"5'10""",200,,2019-08-29,
26,+1,Tyler Biadasz,Wisconsin,OG,"6'3""",315,,2019-08-29,
27,+56,Jeffrey Okudah,Ohio State,CB,"6'1""",200,,2019-08-29,
28,-3,J.K. Dobbins,Ohio State,RBF,"5'10""",214,,2019-08-29,
29,+1,D'Andre Swift,Georgia,RBC,"5'9""",215,,2019-08-29,
