Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,+1,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2020-03-07,
2,-1,Joe Burrow,LSU,QB,"6'4""",216,SR,2020-03-07,
3,+1,Isaiah Simmons,Clemson,OLB,"6'4""",225,RJR,2020-03-07,
4,+3,Tua Tagovailoa,Alabama,QB,"6'1""",218,JR,2020-03-07,
5,+1,Derrick Brown,Auburn,DL1T,"6'5""",326,SR,2020-03-07,
6,-3,Jeffrey Okudah,Ohio State,CB,"6'1""",200,JR,2020-03-07,
7,-2,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2020-03-07,
8,+5,Javon Kinlaw,South Carolina,DL3T,"6'5""",324,SR,2020-03-07,
9,-1,Justin Herbert,Oregon,QB,"6'6""",225,SR,2020-03-07,
10,+2,CeeDee Lamb,Oklahoma,WR,"6'2""",189,JR,2020-03-07,
11,-2,Jerry Jeudy,Alabama,WR,"6'1""",192,JR,2020-03-07,
12,+2,K'Lavon Chaisson,LSU,EDGE,"6'3""",254,RSO,2020-03-07,
13,-3,Mekhi Becton,Louisville,OT,"6'7""",364,JR,2020-03-07,
14,-3,Andrew Thomas,Georgia,OT,"6'5""",315,JR,2020-03-07,
15,+6,Xavier McKinney,Alabama,S,"6'1""",196,JR,2020-03-07,
16,+8,C.J. Henderson,Florida,CB,"6'1""",186,JR,2020-03-07,
17,-1,Henry Ruggs III,Alabama,WR,"6'0""",183,JR,2020-03-07,
18,--,Trevon Diggs,Alabama,CB,"6'2""",200,JR,2020-03-07,
19,-2,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,JR,2020-03-07,
20,+3,Tee Higgins,Clemson,WR,"6'4""",200,JR,2020-03-07,
21,+5,Netane Muti,Fresno State,OG,"6'3""",315,RJR,2020-03-07,
22,-7,Jedrick Wills,Alabama,OT,"6'4""",312,JR,2020-03-07,
23,+42,Patrick Queen,LSU,OLB,"6'0""",229,JR,2020-03-07,
24,+9,Jordan Love,Utah State,QB,"6'4""",225,JR,2020-03-07,
25,+3,Kenneth Murray,Oklahoma,ILB,"6'2""",241,JR,2020-03-07,
26,-7,A.J. Epenesa,Iowa,DL5T,"6'5""",275,JR,2020-03-07,
27,+2,Kristian Fulton,LSU,CB,"6'0""",192,SR,2020-03-07,
28,-6,Justin Jefferson,LSU,WR,"6'2""",185,JR,2020-03-07,
29,+1,Cesar Ruiz,Michigan,OC,"6'3""",307,JR,2020-03-07,
30,-3,Laviska Shenault,Colorado,WR,"6'2""",220,JR,2020-03-07,
