Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,+1,Joe Burrow,LSU,QB,"6'4""",216,SR,2020-02-18,
2,-1,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2020-02-18,
3,+3,Jeffrey Okudah,Ohio State,CB,"6'1""",200,JR,2020-02-18,
4,-1,Derrick Brown,Auburn,DL3T,"6'5""",318,SR,2020-02-18,
5,+5,Andrew Thomas,Georgia,OT,"6'5""",320,JR,2020-02-18,
6,+1,Isaiah Simmons,Clemson,OLB,"6'4""",225,RJR,2020-02-18,
7,+13,Tua Tagovailoa,Alabama,QB,"6'1""",218,JR,2020-02-18,
8,-4,Justin Herbert,Oregon,QB,"6'6""",225,SR,2020-02-18,
9,-4,Jerry Jeudy,Alabama,WR,"6'1""",192,JR,2020-02-18,
10,-2,A.J. Epenesa,Iowa,DL5T,"6'6""",280,JR,2020-02-18,
11,+6,Jedrick Wills,Alabama,OT,"6'5""",316,JR,2020-02-18,
12,+1,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2020-02-18,
13,-1,CeeDee Lamb,Oklahoma,WR,"6'2""",189,JR,2020-02-18,
14,-1,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,JR,2020-02-18,
15,-2,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,SR,2020-02-18,
16,+1,Trevon Diggs,Alabama,CB,"6'2""",200,JR,2020-02-18,
17,-3,Jonathan Taylor,Wisconsin,RB,"5'11""",215,JR,2020-02-18,
18,+1,Kristian Fulton,LSU,CB,"6'0""",192,SR,2020-02-18,
19,--,K'Lavon Chaisson,LSU,OLB,"6'4""",238,RSO,2020-02-18,
20,-4,Curtis Weaver,Boise State,EDGE,"6'3""",266,RJR,2020-02-18,
21,-5,Solomon Kindley,Georgia,OG,"6'4""",335,JR,2020-02-18,
22,+3,Xavier McKinney,Alabama,S,"6'1""",196,JR,2020-02-18,
23,+4,J.K. Dobbins,Ohio State,RB,"5'10""",214,JR,2020-02-18,
24,+20,Mekhi Becton,Louisville,OT,"6'7""",355,JR,2020-02-18,
25,-2,Tee Higgins,Clemson,WR,"6'4""",200,JR,2020-02-18,
26,-3,Laviska Shenault,Colorado,WR,"6'2""",220,JR,2020-02-18,
27,-2,Tyler Biadasz,Wisconsin,OC,"6'3""",315,SR,2020-02-18,
28,-2,C.J. Henderson,Florida,CB,"6'1""",186,JR,2020-02-18,
29,-7,Austin Jackson,USC,OT,"6'6""",310,JR,2020-02-18,
30,-8,D'Andre Swift,Georgia,RB,"5'9""",215,JR,2020-02-18,
31,-7,Henry Ruggs III,Alabama,WR,"6'0""",183,JR,2020-02-18,
32,+26,Antoine Winfield Jr.,Minnesota,S,"5'10""",207,RSO,2020-02-18,
33,+8,Kenneth Murray,Oklahoma,ILB,"6'2""",238,JR,2020-02-18,
34,+4,Jalen Reagor,TCU,WRS,"5'11""",195,JR,2020-02-18,
35,+105,Lloyd Cushenberry,LSU,OC,"6'3""",312,RJR,2020-02-18,
36,-15,Grant Delpit,LSU,S,"6'3""",203,JR,2020-02-18,
37,+5,Shane Lemieux,Oregon,OG,"6'4""",317,SR,2020-02-18,
38,+70,Neville Gallimore,Oklahoma,DL1T,"6'2""",330,RSR,2020-02-18,
39,+80,Damon Arnette,Ohio State,CB,"6'0""",195,SR,2020-02-18,
40,+5,Josh Jones,Houston,OT,"6'7""",310,SR,2020-02-18,
41,+10,Jordan Love,Utah State,QB,"6'4""",225,JR,2020-02-18,
42,+14,Brycen Hopkins,Purdue,TE,"6'5""",245,RSR,2020-02-18,
43,+121,John Simpson,Clemson,OG,"6'4""",330,SR,2020-02-18,
44,+10,Zack Baun,Wisconsin,OLB,"6'3""",235,SR,2020-02-18,
45,+4,Jake Fromm,Georgia,QB,"6'2""",220,JR,2020-02-18,
46,+11,Justin Jefferson,LSU,WR,"6'2""",185,JR,2020-02-18,
47,-8,Bryce Hall,Virginia,CB,"6'1""",200,SR,2020-02-18,
48,+11,Terrell Lewis,Alabama,EDGE,"6'5""",255,RJR,2020-02-18,
49,+26,K.J. Hamler,Penn State,WRS,"5'9""",174,JR,2020-02-18,
50,+12,A.J. Terrell,Clemson,CB,"6'2""",190,JR,2020-02-18,
51,+1,James Lynch,Baylor,DL5T,"6'4""",295,JR,2020-02-18,
52,+3,Trey Adams,Washington,OT,"6'7""",315,SR,2020-02-18,
53,-3,Prince Tega Wanogho,Auburn,OT,"6'7""",310,SR,2020-02-18,
54,+47,Brandon Aiyuk,Arizona State,WR,"6'0""",208,SR,2020-02-18,
55,+21,Jeff Gladney,TCU,CB,"5'10""",183,SR,2020-02-18,
56,-9,Justin Madubuike,Texas A&M,DL3T,"6'3""",304,RJR,2020-02-18,
57,+186,Patrick Queen,LSU,ILB,"6'2""",232,JR,2020-02-18,
58,+5,Raekwon Davis,Alabama,DL3T,"6'7""",306,SR,2020-02-18,
59,-3,Ben Bredeson,Michigan,OG,"6'5""",320,SR,2020-02-18,
60,+71,Clyde Edwards-Helaire,LSU,RB,"5'9""",212,JR,2020-02-18,
61,-1,Michael Pittman Jr.,USC,WR,"6'4""",223,SR,2020-02-18,
62,-29,Tyler Johnson,Minnesota,WR,"6'2""",200,SR,2020-02-18,
63,+2,Malik Harrison,Ohio State,ILB,"6'3""",245,SR,2020-02-18,
64,-19,Troy Dye,Oregon,ILB,"6'4""",224,SR,2020-02-18,
65,+12,Jaylon Johnson,Utah,CB,"6'0""",190,JR,2020-02-18,
66,-19,Jalen Hurts,Oklahoma,QB,"6'2""",210,SR,2020-02-18,
67,-32,Cameron Dantzler,Mississippi State,CB,"6'2""",185,JR,2020-02-18,
68,-20,Isaiah Wilson,Georgia,OT,"6'7""",340,rSO,2020-02-18,
69,+44,Kyle Dugger,Lenoir–Rhyne,S,"6'2""",205,SR,2020-02-18,
70,-28,Albert Okwuegbunam,Missouri,TE,"6'5""",255,RJR,2020-02-18,
71,+25,Netane Muti,Fresno State,OG,"6'3""",310,RJR,2020-02-18,
72,+4,Marlon Davidson,Auburn,DL5T,"6'3""",278,SR,2020-02-18,
73,-40,Anfernee Jennings,Alabama,OLB,"6'3""",259,RSR,2020-02-18,
74,--,Hakeem Adeniji,Kansas,OG,"6'5""",310,SR,2020-02-18,
