Rank,Change,Player,School,Position,Height,Weight,Position2,Date
78,--,Jordan Mack,Virginia,ILB,"6'2""",230,SR,2020-01-03
79,--,Lucas Niang,TCU,OT,"6'7""",328,SR,2020-01-03
80,+1,Jeff Gladney,TCU,CB,"5'10""",183,SR,2020-01-03
81,+1,Ashtyn Davis,California,S,"6'1""",201,RSR,2020-01-03
82,+1,K'Lavon Chaisson,LSU,OLB,"6'4""",238,RSO,2020-01-03
83,+2,James Lynch,Baylor,DL5T,"6'4""",295,JR,2020-01-03
84,+2,Leki Fotu,Utah,DL1T,"6'5""",330,SR,2020-01-03
85,+2,Neville Gallimore,Oklahoma,DL1T,"6'2""",330,RSR,2020-01-03
86,+3,Zack Baun,Wisconsin,OLB,"6'3""",235,SR,2020-01-03
87,+34,Nick Harris,Washington,OC,"6'1""",302,SR,2020-01-03
88,+3,Logan Stenberg,Kentucky,OG,"6'6""",326,RSR,2020-01-03
89,+3,Jaylon Johnson,Utah,CB,"6'0""",190,JR,2020-01-03
90,+26,Frederick Mauigoa,Washington State,OC,"6'3""",310,SR,2020-01-03
91,+2,Richard LeCounte,Georgia,S,"5'11""",190,JR,2020-01-03
92,+2,K.J. Hamler,Penn State,WRS,"5'9""",174,JR,2020-01-03
93,+2,Netane Muti,Fresno State,OG,"6'3""",310,RSO,2020-01-03
94,+2,Josh Uche,Michigan,OLB,"6'3""",238,RJR,2020-01-03
95,+1,Evan Weaver,California,ILB,"6'3""",245,SR,2020-01-03
96,+1,Collin Johnson,Texas,WRF,"6'6""",220,SR,2020-01-03
97,+1,Sam Ehlinger,Texas,QB,"6'3""",235,JR,2020-01-03
98,+1,Shyheim Carter,Alabama,S,"5'11""",192,SR,2020-01-03
99,NEW,Chazz Surratt,North Carolina,OLB,"6'3""",230,JR,2020-01-03
100,+1,Devin Duvernay,Texas,WRS,"5'11""",186,SR,2020-01-03
101,-44,Darryl Williams,Mississippi State,OC,"6'2""",310,SR,2020-01-03
102,--,Deommodore Lenoir,Oregon,CB,"5'11""",212,SR,2020-01-03
103,--,Calvin Throckmorton,Oregon,OT,"6'5""",318,SR,2020-01-03
