Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,+2,Joe Burrow,LSU,QB,"6'4""",216,,2019-11-24,
2,+2,Derrick Brown,Auburn,DL1T,"6'5""",318,,2019-11-24,
3,-1,Chase Young,Ohio State,EDGE,"6'5""",265,,2019-11-24,
4,+2,Jerry Jeudy,Alabama,WRF,"6'1""",192,,2019-11-24,
5,--,Justin Herbert,Oregon,QB,"6'6""",225,,2019-11-24,
6,+2,Andrew Thomas,Georgia,OT,"6'5""",320,,2019-11-24,
7,--,Jeffrey Okudah,Ohio State,CB,"6'1""",200,,2019-11-24,
8,+220,Austin Jackson,USC,OT,"6'6""",310,,2019-11-24,
9,+5,Kristian Fulton,LSU,CB,"6'0""",192,,2019-11-24,
10,-1,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,,2019-11-24,
11,+2,A.J. Epenesa,Iowa,DL5T,"6'6""",280,,2019-11-24,
12,+6,Isaiah Simmons,Clemson,S,"6'4""",225,,2019-11-24,
13,+35,Alex Leatherwood,Alabama,OT,"6'6""",304,,2019-11-24,
14,+7,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,,2019-11-24,
15,+17,Tristan Wirfs,Iowa,OT,"6'5""",320,,2019-11-24,
16,+8,Grant Delpit,LSU,S,"6'3""",203,,2019-11-24,
17,+5,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,,2019-11-24,
18,-17,Tua Tagovailoa,Alabama,QB,"6'1""",218,,2019-11-24,
19,+11,Tee Higgins,Clemson,WRF,"6'4""",200,,2019-11-24,
20,+3,Tyler Biadasz,Wisconsin,OG,"6'3""",315,,2019-11-24,
21,-1,Jonathan Taylor,Wisconsin,RBF,"5'11""",215,,2019-11-24,
22,+5,C.J. Henderson,Florida,CB,"6'1""",186,,2019-11-24,
23,+10,Curtis Weaver,Boise State,EDGE,"6'3""",266,,2019-11-24,
24,+46,Terrell Lewis,Alabama,EDGE,"6'5""",255,,2019-11-24,
25,+6,Trevon Diggs,Alabama,CB,"6'2""",200,,2019-11-24,
26,-16,Laviska Shenault,Colorado,WRF,"6'2""",220,,2019-11-24,
27,+1,Raekwon Davis,Alabama,DL3T,"6'7""",306,,2019-11-24,
28,-13,Henry Ruggs III,Alabama,WRF,"6'0""",183,,2019-11-24,
29,--,Malik Harrison,Ohio State,ILB,"6'3""",245,,2019-11-24,
30,+37,Marvin Wilson,Florida State,DL1T,"6'5""",314,,2019-11-24,
31,-6,Travis Etienne,Clemson,RBF,"5'10""",200,,2019-11-24,
32,+25,D'Andre Swift,Georgia,RBF,"5'9""",215,,2019-11-24,
33,-22,Trey Adams,Washington,OT,"6'7""",315,,2019-11-24,
