Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2020-01-27,
2,--,Joe Burrow,LSU,QB,"6'4""",216,SR,2020-01-27,
3,--,Derrick Brown,Auburn,DL3T,"6'5""",318,SR,2020-01-27,
4,--,Justin Herbert,Oregon,QB,"6'6""",225,SR,2020-01-27,
5,--,Jerry Jeudy,Alabama,WR,"6'1""",192,JR,2020-01-27,
6,--,Jeffrey Okudah,Ohio State,CB,"6'1""",200,JR,2020-01-27,
7,--,Andrew Thomas,Georgia,OT,"6'5""",320,JR,2020-01-27,
8,--,Isaiah Simmons,Clemson,OLB,"6'4""",225,RJR,2020-01-27,
9,--,A.J. Epenesa,Iowa,DL5T,"6'6""",280,JR,2020-01-27,
10,--,Austin Jackson,USC,OT,"6'6""",310,JR,2020-01-27,
11,--,Kristian Fulton,LSU,CB,"6'0""",192,SR,2020-01-27,
12,--,CeeDee Lamb,Oklahoma,WR,"6'2""",189,JR,2020-01-27,
13,--,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2020-01-27,
14,--,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,JR,2020-01-27,
15,--,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,SR,2020-01-27,
16,--,Grant Delpit,LSU,S,"6'3""",203,JR,2020-01-27,
17,--,Jedrick Wills,Alabama,OT,"6'5""",316,JR,2020-01-27,
18,--,Jonathan Taylor,Wisconsin,RB,"5'11""",215,JR,2020-01-27,
19,--,Curtis Weaver,Boise State,EDGE,"6'3""",266,RJR,2020-01-27,
20,--,Tua Tagovailoa,Alabama,QB,"6'1""",218,JR,2020-01-27,
21,--,D'Andre Swift,Georgia,RB,"5'9""",215,JR,2020-01-27,
22,--,Tee Higgins,Clemson,WR,"6'4""",200,JR,2020-01-27,
23,--,Laviska Shenault,Colorado,WR,"6'2""",220,JR,2020-01-27,
24,--,Trevon Diggs,Alabama,CB,"6'2""",207,SR,2020-01-27,
25,--,Henry Ruggs III,Alabama,WR,"6'0""",183,JR,2020-01-27,
26,--,Tyler Biadasz,Wisconsin,OC,"6'3""",315,RJR,2020-01-27,
27,--,C.J. Henderson,Florida,CB,"6'1""",186,JR,2020-01-27,
28,--,Solomon Kindley,Georgia,OG,"6'4""",335,JR,2020-01-27,
29,--,J.K. Dobbins,Ohio State,RB,"5'10""",214,JR,2020-01-27,
30,--,Cameron Dantzler,Mississippi State,CB,"6'2""",185,JR,2020-01-27,
31,--,Anfernee Jennings,Alabama,OLB,"6'3""",259,RSR,2020-01-27,
32,+10,Josh Jones,Houston,OT,"6'7""",310,SR,2020-01-27,
33,--,Tyler Johnson,Minnesota,WR,"6'2""",200,SR,2020-01-27,
34,--,Kenneth Murray,Oklahoma,ILB,"6'2""",238,JR,2020-01-27,
35,--,Trey Adams,Washington,OT,"6'7""",315,SR,2020-01-27,
36,--,Xavier McKinney,Alabama,S,"6'1""",196,JR,2020-01-27,
37,--,Prince Tega Wanogho,Auburn,OT,"6'7""",310,SR,2020-01-27,
38,--,Jake Fromm,Georgia,QB,"6'2""",220,JR,2020-01-27,
39,--,Shane Lemieux,Oregon,OG,"6'4""",317,SR,2020-01-27,
