Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,+2,Joe Burrow,LSU,QB,"6'4""",216,SR,2019-12-18,
2,+2,Derrick Brown,Auburn,DL1T,"6'5""",318,SR,2019-12-18,
3,-1,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2019-12-18,
4,+2,Jerry Jeudy,Alabama,WRF,"6'1""",192,JR,2019-12-18,
5,--,Justin Herbert,Oregon,QB,"6'6""",225,SR,2019-12-18,
6,+2,Andrew Thomas,Georgia,OT,"6'5""",320,JR,2019-12-18,
7,--,Jeffrey Okudah,Ohio State,CB,"6'1""",200,JR,2019-12-18,
8,--,Austin Jackson,USC,OT,"6'6""",310,JR,2019-12-18,
9,+5,Kristian Fulton,LSU,CB,"6'0""",192,SR,2019-12-18,
10,-1,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,JR,2019-12-18,
11,+2,A.J. Epenesa,Iowa,DL5T,"6'6""",280,JR,2019-12-18,
12,+6,Isaiah Simmons,Clemson,S,"6'4""",225,RJR,2019-12-18,
13,+35,Alex Leatherwood,Alabama,OT,"6'6""",304,JR,2019-12-18,
14,+7,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,JR,2019-12-18,
15,+17,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2019-12-18,
16,+8,Grant Delpit,LSU,S,"6'3""",203,JR,2019-12-18,
17,+5,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,SR,2019-12-18,
18,-17,Tua Tagovailoa,Alabama,QB,"6'1""",218,JR,2019-12-18,
19,+11,Tee Higgins,Clemson,WRF,"6'4""",200,JR,2019-12-18,
20,+3,Tyler Biadasz,Wisconsin,OG,"6'3""",315,SR,2019-12-18,
21,-1,Jonathan Taylor,Wisconsin,RBF,"5'11""",215,JR,2019-12-18,
22,+5,C.J. Henderson,Florida,CB,"6'1""",186,JR,2019-12-18,
23,+10,Curtis Weaver,Boise State,EDGE,"6'3""",266,RJR,2019-12-18,
24,+46,Terrell Lewis,Alabama,EDGE,"6'5""",255,RJR,2019-12-18,
25,+6,Trevon Diggs,Alabama,CB,"6'2""",200,JR,2019-12-18,
26,-16,Laviska Shenault,Colorado,WRF,"6'2""",220,JR,2019-12-18,
27,+1,Raekwon Davis,Alabama,DL3T,"6'7""",306,SR,2019-12-18,
28,-13,Henry Ruggs III,Alabama,WRF,"6'0""",183,JR,2019-12-18,
29,--,Malik Harrison,Ohio State,ILB,"6'3""",245,SR,2019-12-18,
30,+37,Marvin Wilson,Florida State,DL1T,"6'5""",314,JR,2019-12-18,
31,-6,Travis Etienne,Clemson,RBF,"5'10""",200,JR,2019-12-18,
32,+25,D'Andre Swift,Georgia,RBF,"5'9""",215,JR,2019-12-18,
33,-22,Trey Adams,Washington,OT,"6'7""",315,SR,2019-12-18,
34,+6,Prince Tega Wanogho,Auburn,OT,"6'7""",310,SR,2019-12-18,
35,+260,Cameron Dantzler,Mississippi State,CB,"6'2""",185,JR,2019-12-18,
36,+62,Jabari Zuniga,Florida,EDGE,"6'4""",257,RSR,2019-12-18,
37,+32,Tyler Johnson,Minnesota,WRF,"6'2""",200,SR,2019-12-18,
38,-1,Anfernee Jennings,Alabama,OLB,"6'3""",259,RSR,2019-12-18,
39,--,Creed Humphrey,Oklahoma,OC,"6'4""",328,RSO,2019-12-18,
40,-6,Jalen Hurts,Oklahoma,QB,"6'2""",210,SR,2019-12-18,
41,-6,J.K. Dobbins,Ohio State,RBF,"5'10""",214,JR,2019-12-18,
42,+13,Kenneth Murray,Oklahoma,ILB,"6'2""",238,JR,2019-12-18,
43,+7,Solomon Kindley,Georgia,OG,"6'4""",335,JR,2019-12-18,
44,+57,Bryce Hall,Virginia,CB,"6'1""",200,SR,2019-12-18,
45,-7,Chuba Hubbard,Oklahoma State,RBF,"6'1""",207,RJR,2019-12-18,
46,-10,Xavier McKinney,Alabama,S,"6'1""",196,JR,2019-12-18,
47,+2,Albert Okwuegbunam,Missouri,TE,"6'5""",255,RJR,2019-12-18,
48,+122,Shaun Wade,Ohio State,CB,"6'0""",195,RJR,2019-12-18,
49,-30,Jalen Reagor,TCU,WRS,"5'11""",195,JR,2019-12-18,
50,-8,DeVonta Smith,Alabama,WRF,"6'1""",193,JR,2019-12-18,
51,-12,Darryl Williams,Mississippi State,OC,"6'2""",310,SR,2019-12-18,
52,-5,Marlon Davidson,Auburn,DL5T,"6'3""",278,SR,2019-12-18,
53,+66,Shane Lemieux,Oregon,OG,"6'4""",317,SR,2019-12-18,
54,-13,Jake Fromm,Georgia,QB,"6'2""",220,JR,2019-12-18,
55,-10,Ben Bredeson,Michigan,OG,"6'5""",320,SR,2019-12-18,
56,--,Samuel Cosmi,Texas,OT,"6'5""",295,RSO,2019-12-18,
57,+216,Paulson Adebo,Stanford,CB,"6'1""",189,JR,2019-12-18,
58,-7,Jacob Eason,Washington,QB,"6'6""",228,JR,2019-12-18,
59,-5,Lloyd Cushenberry,LSU,OC,"6'3""",312,RJR,2019-12-18,
60,-4,Julian Okwara,Notre Dame,EDGE,"6'5""",241,SR,2019-12-18,
61,+140,Jordyn Brooks,Texas Tech,ILB,"6'1""",245,SR,2019-12-18,
62,+9,Hakeem Adeniji,Kansas,OG,"6'5""",310,SR,2019-12-18,
63,+18,Rashard Lawrence,LSU,DL1T,"6'3""",317,SR,2019-12-18,
64,+85,Hamsah Nasirildeen,Florida State,S,"6'3""",216,JR,2019-12-18,
65,+80,Najee Harris,Alabama,RBF,"6'2""",230,JR,2019-12-18,
66,-1,A.J. Terrell,Clemson,CB,"6'2""",190,JR,2019-12-18,
67,-21,Jacob Breeland,Oregon,TE,"6'5""",240,RSR,2019-12-18,
68,+68,Michael Pittman Jr.,USC,WRF,"6'4""",223,SR,2019-12-18,
69,+142,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",275,JR,2019-12-18,
70,+356,Josh Jones,Houston,OT,"6'7""",310,SR,2019-12-18,
