Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2020-04-06,
2,--,Joe Burrow,LSU,QB,"6'3""",221,SR,2020-04-06,
3,--,Isaiah Simmons,Clemson,OLB,"6'4""",238,RJR,2020-04-06,
4,--,Tua Tagovailoa,Alabama,QB,"6'0""",217,JR,2020-04-06,
5,--,Derrick Brown,Auburn,DL1T,"6'5""",326,SR,2020-04-06,
6,--,Jeffrey Okudah,Ohio State,CB,"6'1""",205,JR,2020-04-06,
7,--,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2020-04-06,
8,--,Javon Kinlaw,South Carolina,DL3T,"6'5""",324,SR,2020-04-06,
9,--,CeeDee Lamb,Oklahoma,WR,"6'2""",198,JR,2020-04-06,
10,--,Jerry Jeudy,Alabama,WR,"6'1""",193,JR,2020-04-06,
11,--,Mekhi Becton,Louisville,OT,"6'7""",364,JR,2020-04-06,
12,--,Justin Herbert,Oregon,QB,"6'6""",236,SR,2020-04-06,
13,--,Andrew Thomas,Georgia,OT,"6'5""",315,JR,2020-04-06,
14,--,Henry Ruggs III,Alabama,WR,"5'11""",188,JR,2020-04-06,
15,--,K'Lavon Chaisson,LSU,OLB,"6'3""",254,RSO,2020-04-06,
16,--,Jedrick Wills,Alabama,OT,"6'4""",312,JR,2020-04-06,
17,--,C.J. Henderson,Florida,CB,"6'1""",204,JR,2020-04-06,
18,--,Xavier McKinney,Alabama,S,"6'0""",201,JR,2020-04-06,
19,--,Patrick Queen,LSU,OLB,"6'0""",229,JR,2020-04-06,
20,--,Trevon Diggs,Alabama,CB,"6'1""",205,JR,2020-04-06,
21,--,A.J. Epenesa,Iowa,DL5T,"6'5""",275,JR,2020-04-06,
22,--,Justin Jefferson,LSU,WR,"6'1""",202,JR,2020-04-06,
23,--,Yetur Gross-Matos,Penn State,EDGE,"6'5""",266,JR,2020-04-06,
24,--,Kenneth Murray,Oklahoma,ILB,"6'2""",241,JR,2020-04-06,
25,--,Josh Jones,Houston,OT,"6'5""",319,SR,2020-04-06,
26,--,Kristian Fulton,LSU,CB,"6'0""",197,SR,2020-04-06,
27,--,Jalen Reagor,TCU,WRS,"5'11""",206,JR,2020-04-06,
28,--,Justin Madubuike,Texas A&M,DL3T,"6'3""",293,RJR,2020-04-06,
29,--,Tee Higgins,Clemson,WR,"6'4""",216,JR,2020-04-06,
30,--,Antoine Winfield Jr.,Minnesota,S,"5'9""",203,RSO,2020-04-06,
31,--,Ross Blacklock,TCU,DL3T,"6'3""",290,JR,2020-04-06,
32,--,Cesar Ruiz,Michigan,OC,"6'3""",307,JR,2020-04-06,
33,--,D'Andre Swift,Georgia,RB,"5'8""",212,JR,2020-04-06,
34,--,Jordan Love,Utah State,QB,"6'4""",224,JR,2020-04-06,
35,--,Grant Delpit,LSU,S,"6'2""",213,JR,2020-04-06,
36,--,Austin Jackson,USC,OT,"6'5""",322,JR,2020-04-06,
37,--,Netane Muti,Fresno State,OG,"6'3""",315,RJR,2020-04-06,
38,--,Laviska Shenault,Colorado,WR,6'1'',227,JR,2020-04-06,
