Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,+2,Chase Young,Ohio State,EDGE,"6'5""",265,JR,2020-01-11,Declared
2,-1,Joe Burrow,LSU,QB,"6'4""",216,SR,2020-01-11,Eligible
3,-1,Derrick Brown,Auburn,DL3T,"6'5""",318,SR,2020-01-11,Eligible
4,+1,Justin Herbert,Oregon,QB,"6'6""",225,SR,2020-01-11,Eligible
5,-1,Jerry Jeudy,Alabama,WRF,"6'1""",192,JR,2020-01-11,Declared
6,+1,Jeffrey Okudah,Ohio State,CB,"6'1""",200,JR,2020-01-11,Declared
7,-2,Andrew Thomas,Georgia,OT,"6'5""",320,JR,2020-01-11,Declared
8,+4,Isaiah Simmons,Clemson,OLB,"6'4""",225,RJR,2020-01-11,Underclassman
9,+1,A.J. Epenesa,Iowa,DL5T,"6'6""",280,JR,2020-01-11,Underclassman
10,+1,Austin Jackson,USC,OT,"6'6""",310,JR,2020-01-11,Underclassman
11,+1,Kristian Fulton,LSU,CB,"6'0""",192,SR,2020-01-11,Eligible
12,+1,CeeDee Lamb,Oklahoma,WRF,"6'2""",189,JR,2020-01-11,Declared
13,+1,Tristan Wirfs,Iowa,OT,"6'5""",320,JR,2020-01-11,Underclassman
14,-6,Yetur Gross-Matos,Penn State,EDGE,"6'4""",262,JR,2020-01-11,Declared
15,--,Javon Kinlaw,South Carolina,DL3T,"6'6""",302,SR,2020-01-11,Eligible
16,+6,Grant Delpit,LSU,S,"6'3""",203,JR,2020-01-11,Underclassman
17,+5,Jedrick Wills,Alabama,OT,"6'5""",316,JR,2020-01-11,Declared
18,+1,Jonathan Taylor,Wisconsin,RBF,"5'11""",215,JR,2020-01-11,Declared
19,+1,Curtis Weaver,Boise State,EDGE,"6'3""",266,RJR,2020-01-11,Declared
20,-4,Tua Tagovailoa,Alabama,QB,"6'1""",218,JR,2020-01-11,Declared
21,--,Trevon Diggs,Alabama,CB,"6'2""",200,JR,2020-01-11,Underclassman
22,+9,D'Andre Swift,Georgia,RBF,"5'9""",215,JR,2020-01-11,Declared
23,-6,Tee Higgins,Clemson,WRF,"6'4""",200,JR,2020-01-11,Underclassman
24,-1,Laviska Shenault,Colorado,WRF,"6'2""",220,JR,2020-01-11,Declared
25,+2,Henry Ruggs III,Alabama,WRF,"6'0""",183,JR,2020-01-11,Declared
26,-8,Tyler Biadasz,Wisconsin,OC,"6'3""",315,SR,2020-01-11,Eligible
27,-1,C.J. Henderson,Florida,CB,"6'1""",186,JR,2020-01-11,Declared
28,+2,Solomon Kindley,Georgia,OG,"6'4""",335,JR,2020-01-11,Declared
29,+16,J.K. Dobbins,Ohio State,RBF,"5'10""",214,JR,2020-01-11,Declared
30,+6,Cameron Dantzler,Mississippi State,CB,"6'2""",185,JR,2020-01-11,Declared
31,+3,Anfernee Jennings,Alabama,OLB,"6'3""",259,RSR,2020-01-11,Eligible
32,+6,Tyler Johnson,Minnesota,WRF,"6'2""",200,SR,2020-01-11,Eligible
33,-7,Kenneth Murray,Oklahoma,ILB,"6'2""",238,JR,2020-01-11,Declared
34,-3,Travis Etienne,Clemson,RBF,"5'10""",200,JR,2020-01-11,Underclassman
35,-2,Trey Adams,Washington,OT,"6'7""",315,SR,2020-01-11,Eligible
36,+4,Xavier McKinney,Alabama,S,"6'1""",196,JR,2020-01-11,Declared
37,-3,Prince Tega Wanogho,Auburn,OT,"6'7""",310,SR,2020-01-11,Eligible
38,+17,Jake Fromm,Georgia,QB,"6'2""",220,JR,2020-01-11,Declared
